	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
3925	20076	johanssonsoundsymbolic-Kwakiutl	kwak1269		back	1291	BACK		əwigaʔji	ə w i g a ʔ j i
5042	21193	johanssonsoundsymbolic-Kwakiutl	kwak1269		bad	1292	BAD		jaq	j a q
8879	25030	johanssonsoundsymbolic-Kwakiutl	kwak1269		bark	1204	BARK		tsaxəniʔ	ts a x ə n i ʔ
13020	29171	johanssonsoundsymbolic-Kwakiutl	kwak1269		bealive	1422	BE ALIVE		qʼwəla	qʼ w ə l a
15769	31920	johanssonsoundsymbolic-Kwakiutl	kwak1269		beautiful	1427	BEAUTIFUL		tʼɬʼəʔwɔ	tʼ ɬʼ ə ʔ w ɔ
22917	39068	johanssonsoundsymbolic-Kwakiutl	kwak1269		belly	1251	BELLY		thəq̓i	tʰ ə qʼ i
24561	40712	johanssonsoundsymbolic-Kwakiutl	kwak1269		beloworunder	1485	BELOW OR UNDER		bəʔni	b ə ʔ n i
25774	41925	johanssonsoundsymbolic-Kwakiutl	kwak1269		beside	1816	BESIDE		əbsaliɬ	ə b s a l i ɬ
27960	44111	johanssonsoundsymbolic-Kwakiutl	kwak1269		big	1202	BIG		walas	w a l a s
30345	46496	johanssonsoundsymbolic-Kwakiutl	kwak1269		bird	937	BIRD		pʼipʼatʼɬʼumas	pʼ i pʼ a tʼ ɬʼ u m a s
32694	48845	johanssonsoundsymbolic-Kwakiutl	kwak1269		bite	1403	BITE		kʼəxʔid	kʼ ə x ʔ i d
35308	51459	johanssonsoundsymbolic-Kwakiutl	kwak1269		black	163	BLACK		tʼsʼuɬa	tsʼ u ɬ a
38720	54871	johanssonsoundsymbolic-Kwakiutl	kwak1269		blood	946	BLOOD		əlqwa	ə l qʷ a
40937	57088	johanssonsoundsymbolic-Kwakiutl	kwak1269		blowofwind	175	BLOW (OF WIND)		phuxwəla	pʰ u xʷ ə l a
42098	58249	johanssonsoundsymbolic-Kwakiutl	kwak1269		blue	837	BLUE		dzasa	d z a s a
43118	59269	johanssonsoundsymbolic-Kwakiutl	kwak1269		blunt	379	BLUNT		jeʔxba	j e ʔ x b a
44608	60759	johanssonsoundsymbolic-Kwakiutl	kwak1269		body	1480	BODY		uqʼwineʔ	u qʼ w i n e ʔ
46950	63101	johanssonsoundsymbolic-Kwakiutl	kwak1269		bone	1394	BONE		χaq	χ a q
51532	67683	johanssonsoundsymbolic-Kwakiutl	kwak1269		boy	1366	BOY		babagwəm	b a b a g w ə m
52926	69077	johanssonsoundsymbolic-Kwakiutl	kwak1269		brain	1583	BRAIN		ɬəqwa	ɬ ə qʷ a
57035	73188	johanssonsoundsymbolic-Kwakiutl	kwak1269		breast	1402	BREAST		dzaʔma	d z a ʔ m a
58956	75109	johanssonsoundsymbolic-Kwakiutl	kwak1269		breathe	1407	BREATHE		hasdəxəla	h a s d ə x ə l a
64504	80657	johanssonsoundsymbolic-Kwakiutl	kwak1269		burn	2102	BURN		xiqəla	x i q ə l a
67811	83964	johanssonsoundsymbolic-Kwakiutl	kwak1269		buttocks	834	BUTTOCKS		iʔwanutʼsʼəχsteʔ	i ʔ w a n u tsʼ ə χ s t e ʔ
73008	89161	johanssonsoundsymbolic-Kwakiutl	kwak1269		carry	700	CARRY		daqʼuthəla	d a qʼ u tʰ ə l a
87961	104114	johanssonsoundsymbolic-Kwakiutl	kwak1269		clean	704	CLEAN		tɬin	t ɬ i n
91641	107794	johanssonsoundsymbolic-Kwakiutl	kwak1269		cloud	1489	CLOUD		ənwaʔji	ə n w a ʔ j i
95224	111377	johanssonsoundsymbolic-Kwakiutl	kwak1269		cold	1287	COLD		qʼənaʔisa	qʼ ə n a ʔ i s a
98888	115041	johanssonsoundsymbolic-Kwakiutl	kwak1269		come	1446	COME		gaχən	g a χ ə n
106016	122169	johanssonsoundsymbolic-Kwakiutl	kwak1269		cough	879	COUGH		ləχɔ	l ə χ ɔ
