	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
9117	25268	northeuralex-ckt	chuk1273		bark	1204	BARK		itqiɬɣən	i t q i ɬ ɣ ə n
9146	25297	northeuralex-itl	itel1242		bark	1204	BARK		ilal	i l a l
23131	39282	northeuralex-ckt	chuk1273		belly	1251	BELLY		nanqən	n a n q ə n
23157	39308	northeuralex-itl	itel1242		belly	1251	BELLY		qeɬtq	q e ɬ t q
28283	44434	northeuralex-ckt	chuk1273		big	1202	BIG		nəmejəŋqin	n ə m e j ə ŋ q i n
28308	44459	northeuralex-itl	itel1242		big	1202	BIG		esqt͡ʃkin	e s q tʃ k i n
30623	46774	northeuralex-ckt	chuk1273		bird	937	BIRD		ɣatɬe	ɣ a t ɬ e
32958	49109	northeuralex-ckt	chuk1273		bite	1403	BITE		juuk	j u u k
32987	49138	northeuralex-itl	itel1242		bite	1403	BITE		pəlkas	p ə l k a s
35582	51733	northeuralex-ckt	chuk1273		black	163	BLACK		nuβqin	n u β q i n
35607	51758	northeuralex-itl	itel1242		black	163	BLACK		ktβelaχ	k t β e l a χ
38997	55148	northeuralex-ckt	chuk1273		blood	946	BLOOD		mutɬəmuɬ	m u t ɬ ə m u ɬ
39021	55172	northeuralex-itl	itel1242		blood	946	BLOOD		mɬim	m ɬ i m
47219	63370	northeuralex-ckt	chuk1273		bone	1394	BONE		əʔtːʔəm	ə ʔ tː ʔ ə m
47242	63393	northeuralex-itl	itel1242		bone	1394	BONE		ktχăm	k t χ a m
57281	73434	northeuralex-ckt	chuk1273		breast	1402	BREAST		ɬoɬʔoɬɣən	ɬ o ɬ ʔ o ɬ ɣ ə n
87045	103198	northeuralex-ckt	chuk1273		claw	72	CLAW		βaɣəɬɣən	β a ɣ ə ɬ ɣ ə n
87071	103224	northeuralex-itl	itel1242		claw	72	CLAW		kʔuɸkʔuɸ	k ʔ u ɸ k ʔ u ɸ
91900	108053	northeuralex-ckt	chuk1273		cloud	1489	CLOUD		jʔən	j ʔ ə n
91926	108079	northeuralex-itl	itel1242		cloud	1489	CLOUD		jajaŋ	j a j a ŋ
91927	108080	northeuralex-itl	itel1242		cloud	1489	CLOUD		ŋizzal	ŋ i z z a l
95492	111645	northeuralex-ckt	chuk1273		cold	1287	COLD		nəkiβjeqin	n ə k i β j e q i n
95517	111670	northeuralex-itl	itel1242		cold	1287	COLD		lqlaχ	l q l a χ
99166	115319	northeuralex-ckt	chuk1273		come	1446	COME		pəkiɹək	p ə k i ɹ ə k
99189	115342	northeuralex-itl	itel1242		come	1446	COME		kʔoɬkas	k ʔ o ɬ k a s
127372	143527	northeuralex-ckt	chuk1273		die	1494	DIE		βʔik	β ʔ i k
135937	152092	northeuralex-ckt	chuk1273		dog	2009	DOG		əʔtːʔən	ə ʔ tː ʔ ə n
135964	152119	northeuralex-itl	itel1242		dog	2009	DOG		ʷqosχ	w q o s χ
135965	152120	northeuralex-itl	itel1242		dog	2009	DOG		ʷqsχaj	w q s χ a j
142396	158551	northeuralex-ckt	chuk1273		drink	1401	DRINK		ikβit͡ɕik	i k β i tɕ i k
142419	158574	northeuralex-itl	itel1242		drink	1401	DRINK		βelkas	β e l k a s
145961	162116	northeuralex-ckt	chuk1273		dry	1398	DRY		kəɹɣəɬʔən	k ə ɹ ɣ ə ɬ ʔ ə n
145988	162143	northeuralex-itl	itel1242		dry	1398	DRY		kʔizβilaχ	k ʔ i z β i l a χ
151484	167639	northeuralex-ckt	chuk1273		ear	1247	EAR		βeɬoɬɣən	β e ɬ o ɬ ɣ ə n
151507	167662	northeuralex-itl	itel1242		ear	1247	EAR		iʔl	i ʔ l
154305	170460	northeuralex-ckt	chuk1273		earthsoil	1228	EARTH (SOIL)		nutenut	n u t e n u t
154330	170485	northeuralex-itl	itel1242		earthsoil	1228	EARTH (SOIL)		ktxim	k t x i m
157017	173172	northeuralex-ckt	chuk1273		eat	1336	EAT		qametβak	q a m e t β a k
159297	175455	northeuralex-ckt	chuk1273		egg	744	EGG		ɬiɣɬiɣ	ɬ i ɣ ɬ i ɣ
159320	175478	northeuralex-itl	itel1242		egg	744	EGG		lβilx	l β i l x
169882	186040	northeuralex-ckt	chuk1273		eye	1248	EYE		ɬəɬaɬɣən	ɬ ə ɬ a ɬ ɣ ə n
169907	186065	northeuralex-itl	itel1242		eye	1248	EYE		luʔl	l u ʔ l
182243	198403	northeuralex-ckt	chuk1273		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		mətqəmət	m ə t q ə m ə t
182272	198432	northeuralex-itl	itel1242		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		xamɬx	x a m ɬ x
182273	198433	northeuralex-itl	itel1242		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		kat͡ʃʔx	k a tʃ ʔ x
185127	201287	northeuralex-ckt	chuk1273		feather	1201	FEATHER		ɣaɬɣaɹɣən	ɣ a ɬ ɣ a ɹ ɣ ə n
185153	201313	northeuralex-itl	itel1242		feather	1201	FEATHER		t͡ʃeɬxt͡ʃeɬx	tʃ e ɬ x tʃ e ɬ x
193035	225688	northeuralex-ckt	chuk1273		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		ɹiŋemjetək	ɹ i ŋ e m j e t ə k
193059	225712	northeuralex-itl	itel1242		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		seŋkas	s e ŋ k a s
193060	225713	northeuralex-itl	itel1242		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		seŋzokas	s e ŋ z o k a s
196418	229071	northeuralex-ckt	chuk1273		foot	1301	FOOT		ɣətkaɬɣən	ɣ ə t k a ɬ ɣ ə n
196445	229098	northeuralex-itl	itel1242		foot	1301	FOOT		qtχaŋ	q t χ a ŋ
214908	247561	northeuralex-ckt	chuk1273		give	1447	GIVE		pənɹək	p ə n ɹ ə k
221050	253706	northeuralex-ckt	chuk1273		good	1035	GOOD		nəmeɬqin	n ə m e ɬ q i n
221073	253729	northeuralex-itl	itel1242		good	1035	GOOD		teŋlaχ	t e ŋ l a χ
228786	261442	northeuralex-ckt	chuk1273		green	1425	GREEN		nəβətet͡ɕɣətɹəqen	n ə β ə t e tɕ ɣ ə t ɹ ə q e n
228812	261468	northeuralex-itl	itel1242		green	1425	GREEN		ɸɬlaχ	ɸ ɬ l a χ
234789	267445	northeuralex-ckt	chuk1273		hair	1040	HAIR		kəɹβiɹ	k ə ɹ β i ɹ
234814	267470	northeuralex-itl	itel1242		hair	1040	HAIR		kʔimiʔn	k ʔ i m i ʔ n
238627	271283	northeuralex-ckt	chuk1273		hand	1277	HAND		mənɣəɬɣən	m ə n ɣ ə ɬ ɣ ə n
238628	271284	northeuralex-ckt	chuk1273		hand	1277	HAND		kaɣənməɬɣən	k a ɣ ə n m ə ɬ ɣ ə n
238652	271308	northeuralex-itl	itel1242		hand	1277	HAND		xkʔit͡ʃ	x k ʔ i tʃ
244244	276901	northeuralex-ckt	chuk1273		head	1256	HEAD		ɬeβət	ɬ e β ə t
244270	276927	northeuralex-itl	itel1242		head	1256	HEAD		ktxiŋ	k t x i ŋ
247175	279832	northeuralex-ckt	chuk1273		hear	1408	HEAR		βaɬomək	β a ɬ o m ə k
248758	281415	northeuralex-ckt	chuk1273		heart	1223	HEART		ɬinɬiŋ	ɬ i n ɬ i ŋ
248782	281439	northeuralex-itl	itel1242		heart	1223	HEART		liŋt͡ʃ	l i ŋ tʃ
263601	296261	northeuralex-ckt	chuk1273		hornanatomy	1393	HORN (ANATOMY)		ɹənːəɬɣən	ɹ ə nː ə ɬ ɣ ə n
263625	296285	northeuralex-itl	itel1242		hornanatomy	1393	HORN (ANATOMY)		ənteŋ	ə n t e ŋ
274922	307582	northeuralex-ckt	chuk1273		i	1209	I		ɣəm	ɣ ə m
274947	307607	northeuralex-itl	itel1242		i	1209	I		kəmma	k ə m m a
287824	320484	northeuralex-ckt	chuk1273		kill	1417	KILL		təmək	t ə m ə k
287825	320485	northeuralex-ckt	chuk1273		kill	1417	KILL		teɣinŋetək	t e ɣ i n ŋ e t ə k
290495	323155	northeuralex-ckt	chuk1273		knee	1371	KNEE		ŋəɹaɬɣən	ŋ ə ɹ a ɬ ɣ ə n
290496	323156	northeuralex-ckt	chuk1273		knee	1371	KNEE		ŋəɹatɬəŋən	ŋ ə ɹ a t ɬ ə ŋ ə n
290519	323179	northeuralex-itl	itel1242		knee	1371	KNEE		sezeŋ	s e z e ŋ
294485	327145	northeuralex-ckt	chuk1273		knowsomething	1410	KNOW (SOMETHING)		ɬəɣi_ɬəŋək	ɬ ə ɣ i + ɬ ə ŋ ə k
294508	327168	northeuralex-itl	itel1242		knowsomething	1410	KNOW (SOMETHING)		xiq_eɬes	x i q + e ɬ e s
302468	335128	northeuralex-ckt	chuk1273		leaf	628	LEAF		βətβət	β ə t β ə t
302492	335152	northeuralex-itl	itel1242		leaf	628	LEAF		pəllapəl	p ə l l a p ə l
310570	343230	northeuralex-ckt	chuk1273		lierest	1411	LIE (REST)		aɹət͡ɕɣətβak	a ɹ ə tɕ ɣ ə t β a k
310594	343254	northeuralex-itl	itel1242		lierest	1411	LIE (REST)		sŏlkas	s o l k a s
317196	349856	northeuralex-ckt	chuk1273		liver	1224	LIVER		pontə	p o n t ə
317221	349881	northeuralex-itl	itel1242		liver	1224	LIVER		pontapont	p o n t a p o n t
320128	352788	northeuralex-ckt	chuk1273		long	1203	LONG		niβɬəqin	n i β ɬ ə q i n
320153	352813	northeuralex-itl	itel1242		long	1203	LONG		iβlaχ	i β l a χ
323747	356407	northeuralex-ckt	chuk1273		louse	1392	LOUSE		məməɬ	m ə m ə ɬ
330693	363354	northeuralex-ckt	chuk1273		man	1554	MAN		qɬaβəɬ	q ɬ a β ə ɬ
330722	363383	northeuralex-itl	itel1242		man	1554	MAN		iχɬχ	i χ ɬ χ
344723	377384	northeuralex-ckt	chuk1273		moon	1313	MOON		jʔiɬɣən	j ʔ i ɬ ɣ ə n
344749	377410	northeuralex-itl	itel1242		moon	1313	MOON		mesit͡s	m e s i ts
351194	383858	northeuralex-ckt	chuk1273		mountain	639	MOUNTAIN		ŋeɣnə	ŋ e ɣ n ə
351222	383886	northeuralex-itl	itel1242		mountain	639	MOUNTAIN		ŋejŋe	ŋ e j ŋ e
353726	386390	northeuralex-ckt	chuk1273		mouth	674	MOUTH		jəkəɹɣən	j ə k ə ɹ ɣ ə n
353750	386414	northeuralex-itl	itel1242		mouth	674	MOUTH		qesχ	q e s χ
358731	391396	northeuralex-ckt	chuk1273		name	1405	NAME		nənːə	n ə nː ə
358754	391419	northeuralex-itl	itel1242		name	1405	NAME		χelaŋ	χ e l a ŋ
365021	397688	northeuralex-ckt	chuk1273		neck	1333	NECK		itən	i t ə n
365046	397713	northeuralex-itl	itel1242		neck	1333	NECK		xejten	x e j t e n
369069	401736	northeuralex-ckt	chuk1273		new	1231	NEW		tuɹəɬʔən	t u ɹ ə ɬ ʔ ə n
369095	401762	northeuralex-itl	itel1242		new	1231	NEW		noβoj	n o β o j
371862	404529	northeuralex-ckt	chuk1273		night	1233	NIGHT		nəkiɹit	n ə k i ɹ i t
