	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
3920	20071	johanssonsoundsymbolic-Kiowa	kiow1266		back	1291	BACK		goum	g o u m
5036	21187	johanssonsoundsymbolic-Kiowa	kiow1266		bad	1292	BAD		khããʔd̪ei	kʰ ãː ʔ d̪ e i
13016	29167	johanssonsoundsymbolic-Kiowa	kiow1266		bealive	1422	BE ALIVE		khiɔd̪l̪	kʰ i ɔ d̪ l̪
16336	32487	johanssonsoundsymbolic-Kiowa	kiow1266		because	1157	BECAUSE		bout̪	b o u t̪
19264	35415	johanssonsoundsymbolic-Kiowa	kiow1266		before	1882	BEFORE		t̪houpʼga	t̪ʰ o u pʼ g a
20498	36649	johanssonsoundsymbolic-Kiowa	kiow1266		behind	1686	BEHIND		gõũmbɔ	g õ ũ m b ɔ
22912	39063	johanssonsoundsymbolic-Kiowa	kiow1266		belly	1251	BELLY		bout̪	b o u t̪
24555	40706	johanssonsoundsymbolic-Kiowa	kiow1266		beloworunder	1485	BELOW OR UNDER		d̪õũʔm	d̪ õ ũ ʔ m
25772	41923	johanssonsoundsymbolic-Kiowa	kiow1266		beside	1816	BESIDE		khiɔjɔ	kʰ i ɔ j ɔ
26486	42637	johanssonsoundsymbolic-Kiowa	kiow1266		between	689	BETWEEN		t̪hɔt̪ʼbɔ	t̪ʰ ɔ t̪ʼ b ɔ
27954	44105	johanssonsoundsymbolic-Kiowa	kiow1266		big	1202	BIG		eid̪l̪	e i d̪ l̪
30340	46491	johanssonsoundsymbolic-Kiowa	kiow1266		bird	937	BIRD		kuat̪ou	k u a t̪ o u
32689	48840	johanssonsoundsymbolic-Kiowa	kiow1266		bite	1403	BITE		zõũn̪t̪hɔd̪l̪	z õ ũ n̪ t̪ʰ ɔ d̪ l̪
35304	51455	johanssonsoundsymbolic-Kiowa	kiow1266		black	163	BLACK		kʼõũ	kʼ õ ũ
38715	54866	johanssonsoundsymbolic-Kiowa	kiow1266		blood	946	BLOOD		õũʔm	õ ũ ʔ m
40933	57084	johanssonsoundsymbolic-Kiowa	kiow1266		blowofwind	175	BLOW (OF WIND)		pʼoud̪l̪ei	pʼ o u d̪ l̪ e i
42094	58245	johanssonsoundsymbolic-Kiowa	kiow1266		blue	837	BLUE		sae	s a e
44603	60754	johanssonsoundsymbolic-Kiowa	kiow1266		body	1480	BODY		kʼougjɔp	kʼ o u g j ɔ p
46945	63096	johanssonsoundsymbolic-Kiowa	kiow1266		bone	1394	BONE		t̪ʼẽĩʔm	t̪ʼ ẽ ĩ ʔ m
51526	67677	johanssonsoundsymbolic-Kiowa	kiow1266		boy	1366	BOY		t̪ʼɔɔd̪l̪iɔ	t̪ʼ ɔː d̪ l̪ i ɔ
52921	69072	johanssonsoundsymbolic-Kiowa	kiow1266		brain	1583	BRAIN		khjɔɔʔgoup	kʰ j ɔː ʔ g o u p
57031	73184	johanssonsoundsymbolic-Kiowa	kiow1266		breast	1402	BREAST		zeip	z e i p
58952	75105	johanssonsoundsymbolic-Kiowa	kiow1266		breathe	1407	BREATHE		kããzõũn̪	k ãː z õ ũ n̪
64498	80651	johanssonsoundsymbolic-Kiowa	kiow1266		burn	2102	BURN		t̪ʼõũ	t̪ʼ õ ũ
67808	83961	johanssonsoundsymbolic-Kiowa	kiow1266		buttocks	834	BUTTOCKS		t̪ʼeid̪l̪	t̪ʼ e i d̪ l̪
73002	89155	johanssonsoundsymbolic-Kiowa	kiow1266		carry	700	CARRY		mn̪ʔd̪ouʔ	m n̪ ʔ d̪ o u ʔ
91637	107790	johanssonsoundsymbolic-Kiowa	kiow1266		cloud	1489	CLOUD		pʼɔ̃n̪	pʼ ɔ̃ n̪
95219	111372	johanssonsoundsymbolic-Kiowa	kiow1266		cold	1287	COLD		t̪ʼou	t̪ʼ o u
98882	115035	johanssonsoundsymbolic-Kiowa	kiow1266		come	1446	COME		ɔ̃	ɔ̃
106011	122164	johanssonsoundsymbolic-Kiowa	kiow1266		cough	879	COUGH		kʼiɔn̪hɔɔʔbɔ	kʼ i ɔ n̪̥ ɔː ʔ b ɔ
112052	128205	johanssonsoundsymbolic-Kiowa	kiow1266		crush	1520	CRUSH		pʼn̪ʔãʔmeii	pʼ n̪ ʔ ã ʔ m e iː
112990	129143	johanssonsoundsymbolic-Kiowa	kiow1266		cry	1839	CRY		at̪ʼd̪a	a t̪ʼ d̪ a
118701	134854	johanssonsoundsymbolic-Kiowa	kiow1266		dark	706	DARK		kʼõũ	kʼ õ ũ
121826	137981	johanssonsoundsymbolic-Kiowa	kiow1266		daynotnight	1225	DAY (NOT NIGHT)		kʼiɔ	kʼ i ɔ
124257	140412	johanssonsoundsymbolic-Kiowa	kiow1266		deep	1593	DEEP		zõũẽ	z õ ũ ẽ
127103	143258	johanssonsoundsymbolic-Kiowa	kiow1266		die	1494	DIE		hẽĩʔm	h ẽ ĩ ʔ m
135655	151810	johanssonsoundsymbolic-Kiowa	kiow1266		dog	2009	DOG		t̪sẽĩhĩɔ̃	ts̪ ẽ ĩ h ĩ ɔ̃
142122	158277	johanssonsoundsymbolic-Kiowa	kiow1266		drink	1401	DRINK		t̪ʼõũm	t̪ʼ õ ũ m
145760	161915	johanssonsoundsymbolic-Kiowa	kiow1266		dry	1398	DRY		t̪ʼɔp	t̪ʼ ɔ p
148740	164895	johanssonsoundsymbolic-Kiowa	kiow1266		dust	2	DUST		pʼɔ̃ẽ	pʼ ɔ̃ ẽ
151198	167353	johanssonsoundsymbolic-Kiowa	kiow1266		ear	1247	EAR		t̪ʼaaʔd̪ei	t̪ʼ aː ʔ d̪ e i
156721	172876	johanssonsoundsymbolic-Kiowa	kiow1266		eat	1336	EAT		paʔ	p a ʔ
159032	175190	johanssonsoundsymbolic-Kiowa	kiow1266		egg	744	EGG		iɔ	i ɔ
160781	176939	johanssonsoundsymbolic-Kiowa	kiow1266		eight	1705	EIGHT		jɔ̃t̪ʼsẽĩ	j ɔ̃ t̪ʼ s ẽ ĩ
163729	179887	johanssonsoundsymbolic-Kiowa	kiow1266		eleven	1706	ELEVEN		pɔɔʔt̪ʼɔ̃	p ɔː ʔ t̪ʼ ɔ̃
169602	185760	johanssonsoundsymbolic-Kiowa	kiow1266		eye	1248	EYE		t̪ɔʔ	t̪ ɔ ʔ
173605	189764	johanssonsoundsymbolic-Kiowa	kiow1266		fall	1280	FALL		kʼuegjɔ	kʼ u e g j ɔ
175877	192036	johanssonsoundsymbolic-Kiowa	kiow1266		far	1406	FAR		t̪ʼaaʔga	t̪ʼ aː ʔ g a
182087	198247	johanssonsoundsymbolic-Kiowa	kiow1266		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		khããʔgjɔ	kʰ ãː ʔ g j ɔ
184927	201087	johanssonsoundsymbolic-Kiowa	kiow1266		feather	1201	FEATHER		ɔɔʔgaʔt̪	ɔː ʔ g a ʔ t̪
189960	222613	johanssonsoundsymbolic-Kiowa	kiow1266		flower	239	FLOWER		ɔɔʔkʼĩɔ̃ga	ɔː ʔ kʼ ĩ ɔ̃ g a
191276	223929	johanssonsoundsymbolic-Kiowa	kiow1266		flyinsect	1504	FLY (INSECT)		khããn̪ãt̪ʼsapʼoujiɔ	kʰ ãː n̪ ã t̪ʼ s a pʼ o u j i ɔ
192881	225534	johanssonsoundsymbolic-Kiowa	kiow1266		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		kʼãʔn̪d̪sapʼon̪jiɔ	kʼ ã ʔ n̪ d̪ s a pʼ o n̪ j i ɔ
196200	228853	johanssonsoundsymbolic-Kiowa	kiow1266		foot	1301	FOOT		ãn̪souʔe	ã n̪ s o u ʔ e
202534	235187	johanssonsoundsymbolic-Kiowa	kiow1266		four	1500	FOUR		jiɔgjɔ	j i ɔ g j ɔ
209299	241952	johanssonsoundsymbolic-Kiowa	kiow1266		full	1429	FULL		bout̪ʼd̪a	b o u t̪ʼ d̪ a
216988	249641	johanssonsoundsymbolic-Kiowa	kiow1266		go	695	GO		bɔ	b ɔ
220758	253414	johanssonsoundsymbolic-Kiowa	kiow1266		good	1035	GOOD		t̪hɔɔʔgjɔ	t̪ʰ ɔː ʔ g j ɔ
226201	258857	johanssonsoundsymbolic-Kiowa	kiow1266		grass	606	GRASS		sõũd̪a	s õ ũ d̪ a
228552	261208	johanssonsoundsymbolic-Kiowa	kiow1266		green	1425	GREEN		t̪hããʔd̪eisagjei	t̪ʰ ãː ʔ d̪ e i s a g j e i
229420	262076	johanssonsoundsymbolic-Kiowa	kiow1266		grey	153	GREY		pʼeipʼt̪hɔ̃ẽ	pʼ e i pʼ t̪ʰ ɔ̃ ẽ
234562	267218	johanssonsoundsymbolic-Kiowa	kiow1266		hair	1040	HAIR		aaʔd̪a	aː ʔ d̪ a
236389	269045	johanssonsoundsymbolic-Kiowa	kiow1266		half	816	HALF		khʔouphãʔ	kʰ ʔ o u pʰ ã ʔ
238401	271057	johanssonsoundsymbolic-Kiowa	kiow1266		hand	1277	HAND		mããʔd̪a	m ãː ʔ d̪ a
240324	272980	johanssonsoundsymbolic-Kiowa	kiow1266		happy	1495	HAPPY		õũt̪ʼɔɔʔd̪a	õ ũ t̪ʼ ɔː ʔ d̪ a
240684	273340	johanssonsoundsymbolic-Kiowa	kiow1266		hard	1884	HARD		kout̪	k o u t̪
243956	276613	johanssonsoundsymbolic-Kiowa	kiow1266		head	1256	HEAD		ad̪l̪t̪ʼẽĩʔm	a d̪ l̪ t̪ʼ ẽ ĩ ʔ m
246897	279554	johanssonsoundsymbolic-Kiowa	kiow1266		hear	1408	HEAR		t̪haʔ	t̪ʰ a ʔ
248484	281141	johanssonsoundsymbolic-Kiowa	kiow1266		heart	1223	HEART		t̪ʼẽĩn̪	t̪ʼ ẽ ĩ n̪
250654	283311	johanssonsoundsymbolic-Kiowa	kiow1266		heavy	1210	HEAVY		pʼiɔ	pʼ i ɔ
254485	287144	johanssonsoundsymbolic-Kiowa	kiow1266		here	136	HERE		ẽĩhaʔ	ẽ ĩ h a ʔ
256644	289303	johanssonsoundsymbolic-Kiowa	kiow1266		high	1265	HIGH		kjɔ̃ʔẽhɔɔʔd̪ei	k j ɔ̃ ʔ ẽ h ɔː ʔ d̪ e i
258733	291393	johanssonsoundsymbolic-Kiowa	kiow1266		hit	1433	HIT		goup	g o u p
263364	296024	johanssonsoundsymbolic-Kiowa	kiow1266		hornanatomy	1393	HORN (ANATOMY)		gũãd̪ei	g ũ ã d̪ e i
265203	297863	johanssonsoundsymbolic-Kiowa	kiow1266		hot	1286	HOT		sɔd̪l̪	s ɔ d̪ l̪
267291	299951	johanssonsoundsymbolic-Kiowa	kiow1266		house	1252	HOUSE		t̪ipi	t̪ i p i
268867	301527	johanssonsoundsymbolic-Kiowa	kiow1266		how	1239	HOW		hɔɔʔt̪sou	h ɔː ʔ ts̪ o u
274708	307368	johanssonsoundsymbolic-Kiowa	kiow1266		i	1209	I		n̪ãã	n̪ ãː
278044	310704	johanssonsoundsymbolic-Kiowa	kiow1266		in	1460	IN		aʔ	a ʔ
278685	311345	johanssonsoundsymbolic-Kiowa	kiow1266		infrontof	1883	IN FRONT OF		beigjɔ	b e i g j ɔ
290230	322890	johanssonsoundsymbolic-Kiowa	kiow1266		knee	1371	KNEE		it̪heid̪l̪bõũʔ	i t̪ʰ e i d̪ l̪ b õ ũ ʔ
293313	325973	johanssonsoundsymbolic-Kiowa	kiow1266		know	3626	KNOW		hɔegjɔ	h ɔ e g j ɔ
299033	331693	johanssonsoundsymbolic-Kiowa	kiow1266		laugh	1355	LAUGH		pheit̪ʼɔ̃ʔ	pʰ e i t̪ʼ ɔ̃ ʔ
302189	334849	johanssonsoundsymbolic-Kiowa	kiow1266		leaf	628	LEAF		ɔed̪ẽĩiga	ɔ e d̪ ẽ ĩ i g a
305300	337960	johanssonsoundsymbolic-Kiowa	kiow1266		left	244	LEFT		ãmt̪ʼɔ̃md̪ei	ã m t̪ʼ ɔ̃ m d̪ e i
309514	342174	johanssonsoundsymbolic-Kiowa	kiow1266		liedown	215	LIE DOWN		kha	kʰ a
311510	344170	johanssonsoundsymbolic-Kiowa	kiow1266		lightcolor	250	LIGHT (COLOR)		bõũd̪a	b õ ũ d̪ a
313669	346329	johanssonsoundsymbolic-Kiowa	kiow1266		lightweight	1052	LIGHT (WEIGHT)		aaʔkʼã	aː ʔ kʼ ã
315143	347803	johanssonsoundsymbolic-Kiowa	kiow1266		lip	478	LIP		beid̪l̪kʼae	b e i d̪ l̪ kʼ a e
316953	349613	johanssonsoundsymbolic-Kiowa	kiow1266		liver	1224	LIVER		t̪had̪l̪	t̪ʰ a d̪ l̪
319850	352510	johanssonsoundsymbolic-Kiowa	kiow1266		long	1203	LONG		kĩɔ̃n̪ĩɔ̃	k ĩ ɔ̃ n̪ ĩ ɔ̃
325395	358055	johanssonsoundsymbolic-Kiowa	kiow1266		lowerarm	446	LOWER ARM		mããʔd̪a	m ãː ʔ d̪ a
325758	358418	johanssonsoundsymbolic-Kiowa	kiow1266		lowerleg	447	LOWER LEG		t̪ʼõũd̪ei	t̪ʼ õ ũ d̪ e i
326354	359015	johanssonsoundsymbolic-Kiowa	kiow1266		lung	688	LUNG		kʼahjoud̪l̪	kʼ a h j o u d̪ l̪
330463	363124	johanssonsoundsymbolic-Kiowa	kiow1266		man	1554	MAN		khjɔ̃ɔ̃_hĩʔɔ̃	kʰ j ɔ̃ + h ĩ ʔ ɔ̃
332286	364947	johanssonsoundsymbolic-Kiowa	kiow1266		many	1198	MANY		ae	a e
339903	372564	johanssonsoundsymbolic-Kiowa	kiow1266		milk	635	MILK		zeip	z e i p
344455	377116	johanssonsoundsymbolic-Kiowa	kiow1266		moon	1313	MOON		phae	pʰ a e
350928	383592	johanssonsoundsymbolic-Kiowa	kiow1266		mountain	639	MOUNTAIN		khoup	kʰ o u p
353441	386105	johanssonsoundsymbolic-Kiowa	kiow1266		mouth	674	MOUTH		saʔad̪l̪	s a ʔ a d̪ l̪
