	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
3987	20138	johanssonsoundsymbolic-Suabo	suab1238		back	1291	BACK		ʔebasaro	ʔ e b a s a r o
5106	21257	johanssonsoundsymbolic-Suabo	suab1238		bad	1292	BAD		sarau	s a r a u
13080	29231	johanssonsoundsymbolic-Suabo	suab1238		bealive	1422	BE ALIVE		hidupi	h i d u p i
15815	31966	johanssonsoundsymbolic-Suabo	suab1238		beautiful	1427	BEAUTIFUL		sawateira	s a w a t e i r a
16376	32527	johanssonsoundsymbolic-Suabo	suab1238		because	1157	BECAUSE		sebab	s e b a b
20557	36708	johanssonsoundsymbolic-Suabo	suab1238		behind	1686	BEHIND		ibi	i b i
22984	39135	johanssonsoundsymbolic-Suabo	suab1238		belly	1251	BELLY		miro	m i r o
28029	44180	johanssonsoundsymbolic-Suabo	suab1238		big	1202	BIG		mawago	m a w a g o
30405	46556	johanssonsoundsymbolic-Suabo	suab1238		bird	937	BIRD		durewo	d u r e w o
32761	48912	johanssonsoundsymbolic-Suabo	suab1238		bite	1403	BITE		ʔaʔa	ʔ a ʔ a
35376	51527	johanssonsoundsymbolic-Suabo	suab1238		black	163	BLACK		tarido	t a r i d o
38789	54940	johanssonsoundsymbolic-Suabo	suab1238		blood	946	BLOOD		ʔaruʔo	ʔ a r u ʔ o
42145	58296	johanssonsoundsymbolic-Suabo	suab1238		blue	837	BLUE		sururubo	s u r u r u b o
43168	59319	johanssonsoundsymbolic-Suabo	suab1238		blunt	379	BLUNT		tapuʔaro	t a p u ʔ a r o
44665	60816	johanssonsoundsymbolic-Suabo	suab1238		body	1480	BODY		iragiro	i r a g i r o
47011	63162	johanssonsoundsymbolic-Suabo	suab1238		bone	1394	BONE		toʔo	t o ʔ o
51587	67738	johanssonsoundsymbolic-Suabo	suab1238		boy	1366	BOY		ʔotoʔoware	ʔ o t o ʔ o w a r e
52974	69125	johanssonsoundsymbolic-Suabo	suab1238		brain	1583	BRAIN		abere	a b e r e
57095	73248	johanssonsoundsymbolic-Suabo	suab1238		breast	1402	BREAST		dido	d i d o
64565	80718	johanssonsoundsymbolic-Suabo	suab1238		burn	2102	BURN		tara	t a r a
67865	84018	johanssonsoundsymbolic-Suabo	suab1238		buttocks	834	BUTTOCKS		ibi	i b i
73075	89228	johanssonsoundsymbolic-Suabo	suab1238		carry	700	CARRY		mogo	m o g o
91702	107855	johanssonsoundsymbolic-Suabo	suab1238		cloud	1489	CLOUD		sarido	s a r i d o
95289	111442	johanssonsoundsymbolic-Suabo	suab1238		cold	1287	COLD		orobeʔo	o r o b e ʔ o
98953	115106	johanssonsoundsymbolic-Suabo	suab1238		come	1446	COME		usabi	u s a b i
106073	122226	johanssonsoundsymbolic-Suabo	suab1238		cough	879	COUGH		noʔoʔau	n o ʔ o ʔ a u
110534	126687	johanssonsoundsymbolic-Suabo	suab1238		crooked	297	CROOKED		mararawa	m a r a r a w a
113057	129210	johanssonsoundsymbolic-Suabo	suab1238		cry	1839	CRY		na	n a
118767	134920	johanssonsoundsymbolic-Suabo	suab1238		dark	706	DARK		mugererido	m u g e r e r i d o
121892	138047	johanssonsoundsymbolic-Suabo	suab1238		daynotnight	1225	DAY (NOT NIGHT)		nira	n i r a
127176	143331	johanssonsoundsymbolic-Suabo	suab1238		die	1494	DIE		nu	n u
134285	150440	johanssonsoundsymbolic-Suabo	suab1238		do	813	DO		ʔe	ʔ e
135725	151880	johanssonsoundsymbolic-Suabo	suab1238		dog	2009	DOG		mewoʔo	m e w o ʔ o
142194	158349	johanssonsoundsymbolic-Suabo	suab1238		drink	1401	DRINK		ri	r i
151270	167425	johanssonsoundsymbolic-Suabo	suab1238		ear	1247	EAR		ʔer	ʔ e r
156794	172949	johanssonsoundsymbolic-Suabo	suab1238		eat	1336	EAT		ri	r i
159097	175255	johanssonsoundsymbolic-Suabo	suab1238		egg	744	EGG		guʔo	g u ʔ o
160839	176997	johanssonsoundsymbolic-Suabo	suab1238		eight	1705	EIGHT		newogaagoerinaguare	n e w o g aː g o e r i n a g u a r e
163778	179936	johanssonsoundsymbolic-Suabo	suab1238		eleven	1706	ELEVEN		newowa_sugeri_mutero	n e w o w a + s u g e r i + m u t e r o
164966	181124	johanssonsoundsymbolic-Suabo	suab1238		empty	1624	EMPTY		isido	i s i d o
169674	185832	johanssonsoundsymbolic-Suabo	suab1238		eye	1248	EYE		irabuʔo	i r a b u ʔ o
173678	189837	johanssonsoundsymbolic-Suabo	suab1238		fall	1280	FALL		ʔero	ʔ e r o
175947	192106	johanssonsoundsymbolic-Suabo	suab1238		far	1406	FAR		ʔeseʔo	ʔ e s e ʔ o
177055	193214	johanssonsoundsymbolic-Suabo	suab1238		fart	1159	FART		oe	o e
177517	193676	johanssonsoundsymbolic-Suabo	suab1238		fast	1631	FAST		naʔide	n a ʔ i d e
182145	198305	johanssonsoundsymbolic-Suabo	suab1238		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		ʔerasoe	ʔ e r a s o e
191341	223994	johanssonsoundsymbolic-Suabo	suab1238		flyinsect	1504	FLY (INSECT)		noo	n oː
196272	228925	johanssonsoundsymbolic-Suabo	suab1238		foot	1301	FOOT		ʔepo	ʔ e p o
202602	235255	johanssonsoundsymbolic-Suabo	suab1238		four	1500	FOUR		erieridare	e r i e r i d a r e
213369	246022	johanssonsoundsymbolic-Suabo	suab1238		girl	1646	GIRL		norao	n o r a o
214702	247355	johanssonsoundsymbolic-Suabo	suab1238		give	1447	GIVE		me	m e
217061	249714	johanssonsoundsymbolic-Suabo	suab1238		go	695	GO		pigi	p i g i
220832	253488	johanssonsoundsymbolic-Suabo	suab1238		good	1035	GOOD		sowato	s o w a t o
226266	258922	johanssonsoundsymbolic-Suabo	suab1238		grass	606	GRASS		siiwo	s iː w o
228613	261269	johanssonsoundsymbolic-Suabo	suab1238		green	1425	GREEN		sururubo	s u r u r u b o
231534	264190	johanssonsoundsymbolic-Suabo	suab1238		grow	479	GROW		rebai	r e b a i
234631	267287	johanssonsoundsymbolic-Suabo	suab1238		hair	1040	HAIR		areri	a r e r i
238474	271130	johanssonsoundsymbolic-Suabo	suab1238		hand	1277	HAND		ewo	e w o
244030	276687	johanssonsoundsymbolic-Suabo	suab1238		head	1256	HEAD		aso	a s o
248554	281211	johanssonsoundsymbolic-Suabo	suab1238		heart	1223	HEART		bidarare	b i d a r a r e
250720	283377	johanssonsoundsymbolic-Suabo	suab1238		heavy	1210	HEAVY		nurugo	n u r u g o
253933	286591	johanssonsoundsymbolic-Suabo	suab1238		heorsheorit	262	HE OR SHE OR IT		itigi	i t i g i
254548	287207	johanssonsoundsymbolic-Suabo	suab1238		here	136	HERE		mai	m a i
255807	288466	johanssonsoundsymbolic-Suabo	suab1238		hide	2486	HIDE		rabu	r a b u
256697	289356	johanssonsoundsymbolic-Suabo	suab1238		high	1265	HIGH		awero	a w e r o
258806	291466	johanssonsoundsymbolic-Suabo	suab1238		hit	1433	HIT		ʔobo	ʔ o b o
265273	297933	johanssonsoundsymbolic-Suabo	suab1238		hot	1286	HOT		tegaʔawuri	t e g a ʔ a w u r i
267363	300023	johanssonsoundsymbolic-Suabo	suab1238		house	1252	HOUSE		meʔaro	m e ʔ a r o
268929	301589	johanssonsoundsymbolic-Suabo	suab1238		how	1239	HOW		nage	n a g e
274780	307440	johanssonsoundsymbolic-Suabo	suab1238		i	1209	I		naiti	n a i t i
276817	309477	johanssonsoundsymbolic-Suabo	suab1238		if	1459	IF		kalau	k a l a u
278106	310766	johanssonsoundsymbolic-Suabo	suab1238		in	1460	IN		gao	g a o
287621	320281	johanssonsoundsymbolic-Suabo	suab1238		kill	1417	KILL		wutaube	w u t a u b e
293380	326040	johanssonsoundsymbolic-Suabo	suab1238		know	3626	KNOW		parea	p a r e a
299099	331759	johanssonsoundsymbolic-Suabo	suab1238		laugh	1355	LAUGH		ʔeʔee	ʔ e ʔ eː
302255	334915	johanssonsoundsymbolic-Suabo	suab1238		leaf	628	LEAF		dado	d a d o
305356	338016	johanssonsoundsymbolic-Suabo	suab1238		left	244	LEFT		eduduri	e d u d u r i
311561	344221	johanssonsoundsymbolic-Suabo	suab1238		lightcolor	250	LIGHT (COLOR)		weidi	w e i d i
313728	346388	johanssonsoundsymbolic-Suabo	suab1238		lightweight	1052	LIGHT (WEIGHT)		abugae	a b u g a e
315199	347859	johanssonsoundsymbolic-Suabo	suab1238		lip	478	LIP		miʔoʔoro	m i ʔ o ʔ o r o
317021	349681	johanssonsoundsymbolic-Suabo	suab1238		liver	1224	LIVER		gobo	g o b o
319917	352577	johanssonsoundsymbolic-Suabo	suab1238		long	1203	LONG		gire	g i r e
323559	356219	johanssonsoundsymbolic-Suabo	suab1238		louse	1392	LOUSE		ʔoto	ʔ o t o
325830	358491	johanssonsoundsymbolic-Suabo	suab1238		lowerleg	447	LOWER LEG		epe	e p e
326411	359072	johanssonsoundsymbolic-Suabo	suab1238		lung	688	LUNG		bowito	b o w i t o
330535	363196	johanssonsoundsymbolic-Suabo	suab1238		man	1554	MAN		ʔowewi	ʔ o w e w i
332355	365016	johanssonsoundsymbolic-Suabo	suab1238		many	1198	MANY		useʔe	u s e ʔ e
339959	372620	johanssonsoundsymbolic-Suabo	suab1238		milk	635	MILK		dido	d i d o
344528	377189	johanssonsoundsymbolic-Suabo	suab1238		moon	1313	MOON		moʔo	m o ʔ o
350993	383657	johanssonsoundsymbolic-Suabo	suab1238		mountain	639	MOUNTAIN		tirido	t i r i d o
353511	386175	johanssonsoundsymbolic-Suabo	suab1238		mouth	674	MOUTH		ebe	e b e
358529	391193	johanssonsoundsymbolic-Suabo	suab1238		name	1405	NAME		neri	n e r i
360415	393081	johanssonsoundsymbolic-Suabo	suab1238		narrow	1267	NARROW		tipitipidarere	t i p i t i p i d a r e r e
