	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
3962	20113	johanssonsoundsymbolic-Pawnee	pawn1254		back	1291	BACK		ɾitstaakuʔ	ɾ i ts t aː k u ʔ
8916	25067	johanssonsoundsymbolic-Pawnee	pawn1254		bark	1204	BARK		ɾaakitskuusʔ	ɾ aː k i ts k uː s ʔ
13058	29209	johanssonsoundsymbolic-Pawnee	pawn1254		bealive	1422	BE ALIVE		kus	k u s
15796	31947	johanssonsoundsymbolic-Pawnee	pawn1254		beautiful	1427	BEAUTIFUL		kuskitawi	k u s k i t a w i
16363	32514	johanssonsoundsymbolic-Pawnee	pawn1254		because	1157	BECAUSE		kaatuʔ	k aː t u ʔ
20537	36688	johanssonsoundsymbolic-Pawnee	pawn1254		behind	1686	BEHIND		aɾaawihiɾiʔ	a ɾ aː w i h i ɾ i ʔ
22960	39111	johanssonsoundsymbolic-Pawnee	pawn1254		belly	1251	BELLY		kaɾaaɾuʔ	k a ɾ aː ɾ u ʔ
24595	40746	johanssonsoundsymbolic-Pawnee	pawn1254		beloworunder	1485	BELOW OR UNDER		huɾahwihiɾʔ	h u ɾ a hʷ i h i ɾ ʔ
25799	41950	johanssonsoundsymbolic-Pawnee	pawn1254		beside	1816	BESIDE		awikatasa	a w i k a t a s a
26508	42659	johanssonsoundsymbolic-Pawnee	pawn1254		between	689	BETWEEN		huuwatuɾika	h uː w a t u ɾ i k a
28003	44154	johanssonsoundsymbolic-Pawnee	pawn1254		big	1202	BIG		ɾihuuɾ	ɾ i h uː ɾ
30380	46531	johanssonsoundsymbolic-Pawnee	pawn1254		bird	937	BIRD		ɾikutski	ɾ i k u ts k i
32736	48887	johanssonsoundsymbolic-Pawnee	pawn1254		bite	1403	BITE		kaʔuts	k a ʔ u ts
33867	50018	johanssonsoundsymbolic-Pawnee	pawn1254		bitter	887	BITTER		taʔu	t a ʔ u
35350	51501	johanssonsoundsymbolic-Pawnee	pawn1254		black	163	BLACK		kaatiit	k aː t iː t
38763	54914	johanssonsoundsymbolic-Pawnee	pawn1254		blood	946	BLOOD		paatuʔ	p aː t u ʔ
40972	57123	johanssonsoundsymbolic-Pawnee	pawn1254		blowofwind	175	BLOW (OF WIND)		waaɾuɾi	w aː ɾ u ɾ i
42126	58277	johanssonsoundsymbolic-Pawnee	pawn1254		blue	837	BLUE		taɾiiʔuus	t a ɾ iː ʔ uː s
43150	59301	johanssonsoundsymbolic-Pawnee	pawn1254		blunt	379	BLUNT		katahiis	k a t a h iː s
44643	60794	johanssonsoundsymbolic-Pawnee	pawn1254		body	1480	BODY		iit	iː t
46986	63137	johanssonsoundsymbolic-Pawnee	pawn1254		bone	1394	BONE		kiisuʔ	k iː s u ʔ
51568	67719	johanssonsoundsymbolic-Pawnee	pawn1254		boy	1366	BOY		piiɾaski	p iː ɾ a s k i
52958	69109	johanssonsoundsymbolic-Pawnee	pawn1254		brain	1583	BRAIN		pakskiɾaaɾuʔ	p a k s k i ɾ aː ɾ u ʔ
