	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
3878	20029	johanssonsoundsymbolic-Bororo	boro1282		back	1291	BACK		po̞r̪u	p o̞ r̪ u
4989	21140	johanssonsoundsymbolic-Bororo	boro1282		bad	1292	BAD		pe̞ga	p e̞ g a
8831	24982	johanssonsoundsymbolic-Bororo	boro1282		bark	1204	BARK		bir̪i	b i r̪ i
12971	29122	johanssonsoundsymbolic-Bororo	boro1282		bealive	1422	BE ALIVE		dʒe̞	dʒ e̞
15735	31886	johanssonsoundsymbolic-Bororo	boro1282		beautiful	1427	BEAUTIFUL		mo̞t̪u	m o̞ t̪ u
16306	32457	johanssonsoundsymbolic-Bororo	boro1282		because	1157	BECAUSE		ko̞d̪i	k o̞ d̪ i
19222	35373	johanssonsoundsymbolic-Bororo	boro1282		before	1882	BEFORE		dʒao̞	dʒ a o̞
20460	36611	johanssonsoundsymbolic-Bororo	boro1282		behind	1686	BEHIND		kudʒe̞i	k u dʒ e̞ i
22863	39014	johanssonsoundsymbolic-Bororo	boro1282		belly	1251	BELLY		kur̪i	k u r̪ i
24518	40669	johanssonsoundsymbolic-Bororo	boro1282		beloworunder	1485	BELOW OR UNDER		tʃe̞be̞gi	tʃ e̞ b e̞ g i
27903	44054	johanssonsoundsymbolic-Bororo	boro1282		big	1202	BIG		kɨr̪i	k ɨ r̪ i
30294	46445	johanssonsoundsymbolic-Bororo	boro1282		bird	937	BIRD		kio̞go̞	k i o̞ g o̞
32644	48795	johanssonsoundsymbolic-Bororo	boro1282		bite	1403	BITE		o̞e̞d̪o̞	o̞ e̞ d̪ o̞
33789	49940	johanssonsoundsymbolic-Bororo	boro1282		bitter	887	BITTER		dʒir̪i	dʒ i r̪ i
35254	51405	johanssonsoundsymbolic-Bororo	boro1282		black	163	BLACK		tʃo̞	tʃ o̞
38666	54817	johanssonsoundsymbolic-Bororo	boro1282		blood	946	BLOOD		kur̪e̞	k u r̪ e̞
40892	57043	johanssonsoundsymbolic-Bororo	boro1282		blowofwind	175	BLOW (OF WIND)		o̞gwamu	o̞ g w a m u
42059	58210	johanssonsoundsymbolic-Bororo	boro1282		blue	837	BLUE		kawo̞r̪u	k a w o̞ r̪ u
46895	63046	johanssonsoundsymbolic-Bororo	boro1282		bone	1394	BONE		r̪a	r̪ a
51480	67631	johanssonsoundsymbolic-Bororo	boro1282		boy	1366	BOY		bo̞e̞_e̞t̪o̞r̪e̞	b o̞ e̞ + e̞ t̪ o̞ r̪ e̞
52886	69037	johanssonsoundsymbolic-Bororo	boro1282		brain	1583	BRAIN		ar̪e̞ga	a r̪ e̞ g a
56982	73135	johanssonsoundsymbolic-Bororo	boro1282		breast	1402	BREAST		mar̪ar̪a	m a r̪ a r̪ a
64458	80611	johanssonsoundsymbolic-Bororo	boro1282		burn	2102	BURN		ko̞wu	k o̞ w u
67772	83925	johanssonsoundsymbolic-Bororo	boro1282		buttocks	834	BUTTOCKS		pe̞r̪a	p e̞ r̪ a
72953	89106	johanssonsoundsymbolic-Bororo	boro1282		carry	700	CARRY		but̪ud̪o̞	b u t̪ u d̪ o̞
91596	107749	johanssonsoundsymbolic-Bororo	boro1282		cloud	1489	CLOUD		bo̞e̞_t̪ɨgɨ	b o̞ e̞ + t̪ ɨ g ɨ
95171	111324	johanssonsoundsymbolic-Bororo	boro1282		cold	1287	COLD		buiaku	b u i a k u
105969	122122	johanssonsoundsymbolic-Bororo	boro1282		cough	879	COUGH		ko̞dʒar̪i	k o̞ dʒ a r̪ i
110450	126603	johanssonsoundsymbolic-Bororo	boro1282		crooked	297	CROOKED		me̞ki	m e̞ k i
112014	128167	johanssonsoundsymbolic-Bororo	boro1282		crush	1520	CRUSH		kɨd̪ud̪ə	k ɨ d̪ u d̪ ə
112941	129094	johanssonsoundsymbolic-Bororo	boro1282		cry	1839	CRY		ar̪agɨd̪ɨ	a r̪ a g ɨ d̪ ɨ
118661	134814	johanssonsoundsymbolic-Bororo	boro1282		dark	706	DARK		bo̞e̞tʃo̞	b o̞ e̞ tʃ o̞
121779	137934	johanssonsoundsymbolic-Bororo	boro1282		daynotnight	1225	DAY (NOT NIGHT)		me̞r̪i	m e̞ r̪ i
124227	140382	johanssonsoundsymbolic-Bororo	boro1282		deep	1593	DEEP		ko̞	k o̞
127055	143210	johanssonsoundsymbolic-Bororo	boro1282		die	1494	DIE		bir̪e̞	b i r̪ e̞
131711	147866	johanssonsoundsymbolic-Bororo	boro1282		dirty	1230	DIRTY		pe̞	p e̞
134169	150324	johanssonsoundsymbolic-Bororo	boro1282		do	813	DO		t̪o̞wudʒe̞	t̪ o̞ w u dʒ e̞
135605	151760	johanssonsoundsymbolic-Bororo	boro1282		dog	2009	DOG		ar̪igao̞	a r̪ i g a o̞
142074	158229	johanssonsoundsymbolic-Bororo	boro1282		drink	1401	DRINK		kud̪u	k u d̪ u
145718	161873	johanssonsoundsymbolic-Bororo	boro1282		dry	1398	DRY		kid̪ɨ	k i d̪ ɨ
151148	167303	johanssonsoundsymbolic-Bororo	boro1282		ear	1247	EAR		biadʒa	b i a dʒ a
154071	170226	johanssonsoundsymbolic-Bororo	boro1282		earthsoil	1228	EARTH (SOIL)		mo̞t̪o̞	m o̞ t̪ o̞
156672	172827	johanssonsoundsymbolic-Bororo	boro1282		eat	1336	EAT		ko̞wudʒe̞	k o̞ w u dʒ e̞
158984	175142	johanssonsoundsymbolic-Bororo	boro1282		egg	744	EGG		ba	b a
160742	176900	johanssonsoundsymbolic-Bororo	boro1282		eight	1705	EIGHT		ike̞r̪a_ao̞_bo̞d̪u_po̞be̞_ma_me̞t̪uia_bo̞kwar̪e̞	i k e̞ r̪ a + a o̞ + b o̞ d̪ u + p o̞ b e̞ + m a + m e̞ t̪ u i a + b o̞ k w a r̪ e̞
163695	179853	johanssonsoundsymbolic-Bororo	boro1282		eleven	1706	ELEVEN		ike̞r̪a_pud̪o̞gid̪ure̞_mar̪e̞_iar̪e̞_mit̪o̞	i k e̞ r̪ a + p u d̪ o̞ g i d̪ u r e̞ + m a r̪ e̞ + i a r̪ e̞ + m i t̪ o̞
164884	181042	johanssonsoundsymbolic-Bororo	boro1282		empty	1624	EMPTY		bio̞r̪o̞	b i o̞ r̪ o̞
169552	185710	johanssonsoundsymbolic-Bororo	boro1282		eye	1248	EYE		dʒo̞ku	dʒ o̞ k u
173558	189717	johanssonsoundsymbolic-Bororo	boro1282		fall	1280	FALL		but̪u	b u t̪ u
175827	191986	johanssonsoundsymbolic-Bororo	boro1282		far	1406	FAR		dʒae̞	dʒ a e̞
176991	193150	johanssonsoundsymbolic-Bororo	boro1282		fart	1159	FART		pe̞agəd̪ɨ	p e̞ a g ə d̪ ɨ
177417	193576	johanssonsoundsymbolic-Bororo	boro1282		fast	1631	FAST		gur̪u_gur̪u_t̪abo̞	g u r̪ u + g u r̪ u + t̪ a b o̞
182045	198205	johanssonsoundsymbolic-Bororo	boro1282		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		kagur̪u	k a g u r̪ u
184883	201043	johanssonsoundsymbolic-Bororo	boro1282		feather	1201	FEATHER		bɨ	b ɨ
189913	222566	johanssonsoundsymbolic-Bororo	boro1282		flower	239	FLOWER		o̞kur̪e̞bo̞e̞	o̞ k u r̪ e̞ b o̞ e̞
191237	223890	johanssonsoundsymbolic-Bororo	boro1282		flyinsect	1504	FLY (INSECT)		ko̞d̪u	k o̞ d̪ u
196153	228806	johanssonsoundsymbolic-Bororo	boro1282		foot	1301	FOOT		bur̪e̞	b u r̪ e̞
202486	235139	johanssonsoundsymbolic-Bororo	boro1282		four	1500	FOUR		po̞be̞_pui_bidʒi	p o̞ b e̞ + p u i + b i dʒ i
209262	241915	johanssonsoundsymbolic-Bororo	boro1282		full	1429	FULL		ko̞r̪o̞bat̪u	k o̞ r̪ o̞ b a t̪ u
213265	245918	johanssonsoundsymbolic-Bororo	boro1282		girl	1646	GIRL		bo̞e̞_e̞t̪o̞r̪e̞	b o̞ e̞ + e̞ t̪ o̞ r̪ e̞
214582	247235	johanssonsoundsymbolic-Bororo	boro1282		give	1447	GIVE		makɨ	m a k ɨ
216937	249590	johanssonsoundsymbolic-Bororo	boro1282		go	695	GO		t̪u	t̪ u
220709	253365	johanssonsoundsymbolic-Bororo	boro1282		good	1035	GOOD		pe̞me̞ga	p e̞ m e̞ g a
226158	258814	johanssonsoundsymbolic-Bororo	boro1282		grass	606	GRASS		bo̞e̞_bɨt̪ɨ	b o̞ e̞ + b ɨ t̪ ɨ
228510	261166	johanssonsoundsymbolic-Bororo	boro1282		green	1425	GREEN		kawo̞r̪u	k a w o̞ r̪ u
229405	262061	johanssonsoundsymbolic-Bororo	boro1282		grey	153	GREY		dʒo̞r̪ugud̪u	dʒ o̞ r̪ u g u d̪ u
234511	267167	johanssonsoundsymbolic-Bororo	boro1282		hair	1040	HAIR		ao̞	a o̞
238352	271008	johanssonsoundsymbolic-Bororo	boro1282		hand	1277	HAND		ke̞r̪a	k e̞ r̪ a
240285	272941	johanssonsoundsymbolic-Bororo	boro1282		happy	1495	HAPPY		dʒagar̪e̞	dʒ a g a r̪ e̞
240644	273300	johanssonsoundsymbolic-Bororo	boro1282		hard	1884	HARD		r̪aka	r̪ a k a
243907	276564	johanssonsoundsymbolic-Bororo	boro1282		head	1256	HEAD		ao̞r̪a	a o̞ r̪ a
248437	281094	johanssonsoundsymbolic-Bororo	boro1282		heart	1223	HEART		wabo̞	w a b o̞
250607	283264	johanssonsoundsymbolic-Bororo	boro1282		heavy	1210	HEAVY		mo̞t̪ɨd̪ɨ	m o̞ t̪ ɨ d̪ ɨ
253814	286472	johanssonsoundsymbolic-Bororo	boro1282		heorsheorit	262	HE OR SHE OR IT		e̞ma	e̞ m a
