	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
3994	20145	johanssonsoundsymbolic-Tima	tima1241		back	1291	BACK		kidii	k i d iː
5114	21265	johanssonsoundsymbolic-Tima	tima1241		bad	1292	BAD		rɔʔɔr	r ɔ ʔ ɔ r
13088	29239	johanssonsoundsymbolic-Tima	tima1241		bealive	1422	BE ALIVE		bajʊk	b a j ʊ k
15821	31972	johanssonsoundsymbolic-Tima	tima1241		beautiful	1427	BEAUTIFUL		kʌrʌŋ	k ʌ r ʌ ŋ
16381	32532	johanssonsoundsymbolic-Tima	tima1241		because	1157	BECAUSE		ŋkɔɔnɔ	ŋ k ɔː n ɔ
19322	35473	johanssonsoundsymbolic-Tima	tima1241		before	1882	BEFORE		t̪ɛk	t̪ ɛ k
20564	36715	johanssonsoundsymbolic-Tima	tima1241		behind	1686	BEHIND		alakɔɔ	a l a k ɔː
22993	39144	johanssonsoundsymbolic-Tima	tima1241		belly	1251	BELLY		kuɽuun	k u ɽ uː n
24620	40771	johanssonsoundsymbolic-Tima	tima1241		beloworunder	1485	BELOW OR UNDER		nt̪ʌhi	n t̪ ʌ h i
25818	41969	johanssonsoundsymbolic-Tima	tima1241		beside	1816	BESIDE		kərəman	k ə r ə m a n
26523	42674	johanssonsoundsymbolic-Tima	tima1241		between	689	BETWEEN		jant̪ər	j a n t̪ ə r
28038	44189	johanssonsoundsymbolic-Tima	tima1241		big	1202	BIG		kɔlɔŋ	k ɔ l ɔ ŋ
32770	48921	johanssonsoundsymbolic-Tima	tima1241		bite	1403	BITE		aləm	a l ə m
33892	50043	johanssonsoundsymbolic-Tima	tima1241		bitter	887	BITTER		kʌk	k ʌ k
35385	51536	johanssonsoundsymbolic-Tima	tima1241		black	163	BLACK		t̪un	t̪ u n
38798	54949	johanssonsoundsymbolic-Tima	tima1241		blood	946	BLOOD		iduu	i d uː
41003	57154	johanssonsoundsymbolic-Tima	tima1241		blowofwind	175	BLOW (OF WIND)		puli	p u l i
42152	58303	johanssonsoundsymbolic-Tima	tima1241		blue	837	BLUE		ahɛh_wʌlwʌʔl	a h ɛ h + w ʌ l w ʌ ʔ l
43175	59326	johanssonsoundsymbolic-Tima	tima1241		blunt	379	BLUNT		t̪ukur	t̪ u k u r
44672	60823	johanssonsoundsymbolic-Tima	tima1241		body	1480	BODY		cidʌ	c i d ʌ
47017	63168	johanssonsoundsymbolic-Tima	tima1241		bone	1394	BONE		kuh	k u h
51592	67743	johanssonsoundsymbolic-Tima	tima1241		boy	1366	BOY		cibʌ_kəmaadəh	c i b ʌ + k ə m aː d ə h
52980	69131	johanssonsoundsymbolic-Tima	tima1241		brain	1583	BRAIN		ihʌrɨndiik	i h ʌ r ɨ n d iː k
57104	73257	johanssonsoundsymbolic-Tima	tima1241		breast	1402	BREAST		kimidi	k i m i d i
73083	89236	johanssonsoundsymbolic-Tima	tima1241		carry	700	CARRY		ŋʌnʌʌk	ŋ ʌ n ʌː k
88010	104163	johanssonsoundsymbolic-Tima	tima1241		clean	704	CLEAN		diʔil	d i ʔ i l
91708	107861	johanssonsoundsymbolic-Tima	tima1241		cloud	1489	CLOUD		kuuɽu	k uː ɽ u
95296	111449	johanssonsoundsymbolic-Tima	tima1241		cold	1287	COLD		ciin	c iː n
98962	115115	johanssonsoundsymbolic-Tima	tima1241		come	1446	COME		dijʌŋ	d i j ʌ ŋ
104977	121130	johanssonsoundsymbolic-Tima	tima1241		correctright	1725	CORRECT (RIGHT)		cɔr	c ɔ r
106079	122232	johanssonsoundsymbolic-Tima	tima1241		cough	879	COUGH		kwarəl	k w a r ə l
110540	126693	johanssonsoundsymbolic-Tima	tima1241		crooked	297	CROOKED		t̪əla	t̪ ə l a
112108	128261	johanssonsoundsymbolic-Tima	tima1241		crush	1520	CRUSH		kwʌrɨh	k w ʌ r ɨ h
113066	129219	johanssonsoundsymbolic-Tima	tima1241		cry	1839	CRY		lɛlmʊk	l ɛ l m ʊ k
118774	134927	johanssonsoundsymbolic-Tima	tima1241		dark	706	DARK		t̪un	t̪ u n
121901	138056	johanssonsoundsymbolic-Tima	tima1241		daynotnight	1225	DAY (NOT NIGHT)		kahaada	k a h aː d a
124318	140473	johanssonsoundsymbolic-Tima	tima1241		deep	1593	DEEP		duŋ	d u ŋ
127185	143340	johanssonsoundsymbolic-Tima	tima1241		die	1494	DIE		kəbaɟʊk	k ə b a ɟ ʊ k
131814	147969	johanssonsoundsymbolic-Tima	tima1241		dirty	1230	DIRTY		t̪un	t̪ u n
134294	150449	johanssonsoundsymbolic-Tima	tima1241		do	813	DO		nakɔjɔ	n a k ɔ j ɔ
135734	151889	johanssonsoundsymbolic-Tima	tima1241		dog	2009	DOG		kuu	k uː
142202	158357	johanssonsoundsymbolic-Tima	tima1241		drink	1401	DRINK		mɔɔk	m ɔː k
145836	161991	johanssonsoundsymbolic-Tima	tima1241		dry	1398	DRY		hɔna	h ɔ n a
148811	164966	johanssonsoundsymbolic-Tima	tima1241		dust	2	DUST		kuruk	k u r u k
151278	167433	johanssonsoundsymbolic-Tima	tima1241		ear	1247	EAR		kwɔnɔ	k w ɔ n ɔ
154197	170352	johanssonsoundsymbolic-Tima	tima1241		earthsoil	1228	EARTH (SOIL)		ihi	i h i
156803	172958	johanssonsoundsymbolic-Tima	tima1241		eat	1336	EAT		najimah	n a j i m a h
160846	177004	johanssonsoundsymbolic-Tima	tima1241		eight	1705	EIGHT		int̪iŋɛrɛɛj	i n t̪ i ŋ ɛ r ɛː j
163783	179941	johanssonsoundsymbolic-Tima	tima1241		eleven	1706	ELEVEN		t̪aat̪iin	t̪ aː t̪ iː n
164974	181132	johanssonsoundsymbolic-Tima	tima1241		empty	1624	EMPTY		hɔna	h ɔ n a
169683	185841	johanssonsoundsymbolic-Tima	tima1241		eye	1248	EYE		cii	c iː
173687	189846	johanssonsoundsymbolic-Tima	tima1241		fall	1280	FALL		hiɲi	h i ɲ i
175954	192113	johanssonsoundsymbolic-Tima	tima1241		far	1406	FAR		hara	h a r a
177060	193219	johanssonsoundsymbolic-Tima	tima1241		fart	1159	FART		kut̪uɽuul	k u t̪ u ɽ uː l
177524	193683	johanssonsoundsymbolic-Tima	tima1241		fast	1631	FAST		hɔr	h ɔ r
182153	198313	johanssonsoundsymbolic-Tima	tima1241		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		kilih	k i l i h
185000	201160	johanssonsoundsymbolic-Tima	tima1241		feather	1201	FEATHER		bʊlɓa	b ʊ l ɓ a
190028	222681	johanssonsoundsymbolic-Tima	tima1241		flower	239	FLOWER		kədəlɛ	k ə d ə l ɛ
191349	224002	johanssonsoundsymbolic-Tima	tima1241		flyinsect	1504	FLY (INSECT)		nadɔɔ_ɲɛdən	n a d ɔː + ɲ ɛ d ə n
192946	225599	johanssonsoundsymbolic-Tima	tima1241		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		kədada	k ə d a d a
196279	228932	johanssonsoundsymbolic-Tima	tima1241		foot	1301	FOOT		kidii	k i d iː
202610	235263	johanssonsoundsymbolic-Tima	tima1241		four	1500	FOUR		ihaləm	i h a l ə m
209363	242016	johanssonsoundsymbolic-Tima	tima1241		full	1429	FULL		bilibilik	b i l i b i l i k
213375	246028	johanssonsoundsymbolic-Tima	tima1241		girl	1646	GIRL		ciboonin	c i b oː n i n
214711	247364	johanssonsoundsymbolic-Tima	tima1241		give	1447	GIVE		nʌmehene	n ʌ m e h e n e
217069	249722	johanssonsoundsymbolic-Tima	tima1241		go	695	GO		aji	a j i
220840	253496	johanssonsoundsymbolic-Tima	tima1241		good	1035	GOOD		mal	m a l
228620	261276	johanssonsoundsymbolic-Tima	tima1241		green	1425	GREEN		ahɛh_t̪urt̪ur	a h ɛ h + t̪ u r t̪ u r
234640	267296	johanssonsoundsymbolic-Tima	tima1241		hair	1040	HAIR		kaam	k aː m
238483	271139	johanssonsoundsymbolic-Tima	tima1241		hand	1277	HAND		kɨdʌwun	k ɨ d ʌ w u n
240382	273038	johanssonsoundsymbolic-Tima	tima1241		happy	1495	HAPPY		kuh_ahin	k u h + a h i n
240755	273411	johanssonsoundsymbolic-Tima	tima1241		hard	1884	HARD		cɔk	c ɔ k
244039	276696	johanssonsoundsymbolic-Tima	tima1241		head	1256	HEAD		kah	k a h
248563	281220	johanssonsoundsymbolic-Tima	tima1241		heart	1223	HEART		kɔdɔjon	k ɔ d ɔ j o n
250727	283384	johanssonsoundsymbolic-Tima	tima1241		heavy	1210	HEAVY		dil	d i l
253942	286600	johanssonsoundsymbolic-Tima	tima1241		heorsheorit	262	HE OR SHE OR IT		pɨnʌ	p ɨ n ʌ
254554	287213	johanssonsoundsymbolic-Tima	tima1241		here	136	HERE		nʌŋ	n ʌ ŋ
255816	288475	johanssonsoundsymbolic-Tima	tima1241		hide	2486	HIDE		kwala	k w a l a
256702	289361	johanssonsoundsymbolic-Tima	tima1241		high	1265	HIGH		duŋ	d u ŋ
258815	291475	johanssonsoundsymbolic-Tima	tima1241		hit	1433	HIT		dʌk	d ʌ k
263424	296084	johanssonsoundsymbolic-Tima	tima1241		hornanatomy	1393	HORN (ANATOMY)		kabʊŋ	k a b ʊ ŋ
265282	297942	johanssonsoundsymbolic-Tima	tima1241		hot	1286	HOT		duʔak	d u ʔ a k
267370	300030	johanssonsoundsymbolic-Tima	tima1241		house	1252	HOUSE		kurt̪u	k u r t̪ u
268937	301597	johanssonsoundsymbolic-Tima	tima1241		how	1239	HOW		daamɛ	d aː m ɛ
274789	307449	johanssonsoundsymbolic-Tima	tima1241		i	1209	I		kɨdʌ	k ɨ d ʌ
278114	310774	johanssonsoundsymbolic-Tima	tima1241		in	1460	IN		luh	l u h
278742	311402	johanssonsoundsymbolic-Tima	tima1241		infrontof	1883	IN FRONT OF		ant̪ijɛɛn	a n t̪ i j ɛː n
287629	320289	johanssonsoundsymbolic-Tima	tima1241		kill	1417	KILL		t̪omo	t̪ o m o
290306	322966	johanssonsoundsymbolic-Tima	tima1241		knee	1371	KNEE		kʊdampaŋ	k ʊ d a m p a ŋ
293389	326049	johanssonsoundsymbolic-Tima	tima1241		know	3626	KNOW		hii	h iː
299107	331767	johanssonsoundsymbolic-Tima	tima1241		laugh	1355	LAUGH		dijana	d i j a n a
302262	334922	johanssonsoundsymbolic-Tima	tima1241		leaf	628	LEAF		kat̪ah	k a t̪ a h
309577	342237	johanssonsoundsymbolic-Tima	tima1241		liedown	215	LIE DOWN		ʌt̪aat̪aŋ	ʌ t̪ aː t̪ a ŋ
311566	344226	johanssonsoundsymbolic-Tima	tima1241		lightcolor	250	LIGHT (COLOR)		hɛh	h ɛ h
313733	346393	johanssonsoundsymbolic-Tima	tima1241		lightweight	1052	LIGHT (WEIGHT)		pan	p a n
315206	347866	johanssonsoundsymbolic-Tima	tima1241		lip	478	LIP		kah_kiŋɛ	k a h + k i ŋ ɛ
317029	349689	johanssonsoundsymbolic-Tima	tima1241		liver	1224	LIVER		kɨmʌɲuk	k ɨ m ʌ ɲ u k
319924	352584	johanssonsoundsymbolic-Tima	tima1241		long	1203	LONG		duŋ	d u ŋ
322519	355179	johanssonsoundsymbolic-Tima	tima1241		loud	377	LOUD		walwal	w a l w a l
323567	356227	johanssonsoundsymbolic-Tima	tima1241		louse	1392	LOUSE		kalkambal	k a l k a m b a l
325041	357701	johanssonsoundsymbolic-Tima	tima1241		low	721	LOW		t̪iʔiŋ	t̪ i ʔ i ŋ
325470	358130	johanssonsoundsymbolic-Tima	tima1241		lowerarm	446	LOWER ARM		kalʊk	k a l ʊ k
325839	358500	johanssonsoundsymbolic-Tima	tima1241		lowerleg	447	LOWER LEG		kidii	k i d iː
330544	363205	johanssonsoundsymbolic-Tima	tima1241		man	1554	MAN		kɔŋkɔr	k ɔ ŋ k ɔ r
332364	365025	johanssonsoundsymbolic-Tima	tima1241		many	1198	MANY		hawʊk	h a w ʊ k
339965	372626	johanssonsoundsymbolic-Tima	tima1241		milk	635	MILK		ihi	i h i
344537	377198	johanssonsoundsymbolic-Tima	tima1241		moon	1313	MOON		ciidiŋ	c iː d i ŋ
351002	383666	johanssonsoundsymbolic-Tima	tima1241		mountain	639	MOUNTAIN		kwaləŋ	k w a l ə ŋ
353520	386184	johanssonsoundsymbolic-Tima	tima1241		mouth	674	MOUTH		kiŋɛ	k i ŋ ɛ
358538	391202	johanssonsoundsymbolic-Tima	tima1241		name	1405	NAME		kʌhu	k ʌ h u
360422	393088	johanssonsoundsymbolic-Tima	tima1241		narrow	1267	NARROW		raʔarn	r a ʔ a r n
361532	394198	johanssonsoundsymbolic-Tima	tima1241		navel	1838	NAVEL		kɨlʌlu	k ɨ l ʌ l u
363078	395744	johanssonsoundsymbolic-Tima	tima1241		near	1942	NEAR		mɛt̪ɛn	m ɛ t̪ ɛ n
364822	397489	johanssonsoundsymbolic-Tima	tima1241		neck	1333	NECK		kwʌmʌŋ	k w ʌ m ʌ ŋ
368875	401542	johanssonsoundsymbolic-Tima	tima1241		new	1231	NEW		jaada	j aː d a
371662	404329	johanssonsoundsymbolic-Tima	tima1241		night	1233	NIGHT		kahŋa	k a h ŋ a
373331	405998	johanssonsoundsymbolic-Tima	tima1241		nine	1483	NINE		int̪ʌhʌdʌkun	i n t̪ ʌ h ʌ d ʌ k u n
374469	407136	johanssonsoundsymbolic-Tima	tima1241		nipple	796	NIPPLE		kah_kimidi	k a h + k i m i d i
377480	410147	johanssonsoundsymbolic-Tima	tima1241		nose	1221	NOSE		kɨmʌmii	k ɨ m ʌ m iː
380383	413050	johanssonsoundsymbolic-Tima	tima1241		now	1376	NOW		kuhunʌŋ	k u h u n ʌ ŋ
384257	416924	johanssonsoundsymbolic-Tima	tima1241		oldaged	2112	OLD (AGED)		laanʊ	l aː n ʊ
385346	418013	johanssonsoundsymbolic-Tima	tima1241		olderbrotherofman	2414	OLDER BROTHER (OF MAN)		inʌ	i n ʌ
385540	418207	johanssonsoundsymbolic-Tima	tima1241		olderbrotherofwoman	2415	OLDER BROTHER (OF WOMAN)		kinʌ	k i n ʌ
386319	418986	johanssonsoundsymbolic-Tima	tima1241		oldersisterofman	2418	OLDER SISTER (OF MAN)		luwi	l u w i
386506	419173	johanssonsoundsymbolic-Tima	tima1241		oldersisterofwoman	2419	OLDER SISTER (OF WOMAN)		iluwi	i l u w i
386776	419443	johanssonsoundsymbolic-Tima	tima1241		oldman	406	OLD MAN		kəlaanʊ	k ə l aː n ʊ
387732	420399	johanssonsoundsymbolic-Tima	tima1241		oldused	2113	OLD (USED)		laanʊ	l aː n ʊ
388183	420850	johanssonsoundsymbolic-Tima	tima1241		oldwoman	907	OLD WOMAN		kəlaanʊ	k ə l aː n ʊ
389779	422446	johanssonsoundsymbolic-Tima	tima1241		one	1493	ONE		at̪iin	a t̪ iː n
393786	426453	johanssonsoundsymbolic-Tima	tima1241		other	197	OTHER		t̪iini	t̪ iː n i
394540	427207	johanssonsoundsymbolic-Tima	tima1241		outside	762	OUTSIDE		ʊt̪waaɽi	ʊ t̪ w aː ɽ i
400945	433612	johanssonsoundsymbolic-Tima	tima1241		path	2252	PATH		t̪ɔndɔ	t̪ ɔ n d ɔ
404169	436836	johanssonsoundsymbolic-Tima	tima1241		penis	1222	PENIS		kimɛ	k i m ɛ
406284	438951	johanssonsoundsymbolic-Tima	tima1241		person	683	PERSON		kan_bajʊk	k a n + b a j ʊ k
411696	444363	johanssonsoundsymbolic-Tima	tima1241		piss	592	PISS		pərana	p ə r a n a
414810	447477	johanssonsoundsymbolic-Tima	tima1241		pointed	372	POINTED		hikɛr	h i k ɛ r
424342	457010	johanssonsoundsymbolic-Tima	tima1241		quiet	1314	QUIET		muluuleeŋ	m u l uː l eː ŋ
427146	459814	johanssonsoundsymbolic-Tima	tima1241		rainprecipitation	658	RAIN (PRECIPITATION)		kicirmʌ	k i c i r m ʌ
430513	463181	johanssonsoundsymbolic-Tima	tima1241		raw	1959	RAW		jah	j a h
432563	465231	johanssonsoundsymbolic-Tima	tima1241		red	156	RED		rdi	r d i
439633	472301	johanssonsoundsymbolic-Tima	tima1241		ripe	178	RIPE		ʌdu	ʌ d u
440816	473484	johanssonsoundsymbolic-Tima	tima1241		river	666	RIVER		lawʊ	l a w ʊ
444498	477167	johanssonsoundsymbolic-Tima	tima1241		root	670	ROOT		kuhulum	k u h u l u m
446400	479069	johanssonsoundsymbolic-Tima	tima1241		rope	1218	ROPE		kwʌʌ	k w ʌː
448042	480711	johanssonsoundsymbolic-Tima	tima1241		rotten	1728	ROTTEN		mʌmu	m ʌ m u
448420	481089	johanssonsoundsymbolic-Tima	tima1241		rough	1923	ROUGH		ceŋkʌmceŋkʌm	c e ŋ k ʌ m c e ŋ k ʌ m
448886	481555	johanssonsoundsymbolic-Tima	tima1241		round	1395	ROUND		kɔdɔkɔdɔk	k ɔ d ɔ k ɔ d ɔ k
450729	483398	johanssonsoundsymbolic-Tima	tima1241		run	1519	RUN		daa	d aː
452273	484942	johanssonsoundsymbolic-Tima	tima1241		sad	699	SAD		kuh_arɔɔr	k u h + a r ɔː r
454817	487486	johanssonsoundsymbolic-Tima	tima1241		salty	1091	SALTY		hoohook	h oː h oː k
456461	489130	johanssonsoundsymbolic-Tima	tima1241		sand	671	SAND		ɟɔɟa	ɟ ɔ ɟ a
459428	492097	johanssonsoundsymbolic-Tima	tima1241		say	1458	SAY		dah	d a h
460422	493091	johanssonsoundsymbolic-Tima	tima1241		scared	3033	SCARED		kulijiil	k u l i j iː l
468754	501425	johanssonsoundsymbolic-Tima	tima1241		semen	2283	SEMEN		idikiŋaŋ	i d i k i ŋ a ŋ
470317	502988	johanssonsoundsymbolic-Tima	tima1241		seven	1704	SEVEN		ɪnt̪at̪ɪŋɛɛl	ɪ n t̪ a t̪ ɪ ŋ ɛː l
472810	505481	johanssonsoundsymbolic-Tima	tima1241		shade	1388	SHADE		kiliili	k i l iː l i
473776	506447	johanssonsoundsymbolic-Tima	tima1241		shallow	193	SHALLOW		daaldaal	d aː l d aː l
