	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
474	16625	hubercolumbian-Cuiba	cuib1242		at	1461	AT		tʰa	tʰ a
483	16634	hubercolumbian-Guahibo	guah1255		at	1461	AT		ta	t a
485	16636	hubercolumbian-Guayabero	guay1257		at	1461	AT		tat	t a t
486	16637	hubercolumbian-Guayabero	guay1257		at	1461	AT		xot	x o t
489	16640	hubercolumbian-Jitnu	maca1259		at	1461	AT		hót	h o t
504	16655	hubercolumbian-Playero	play1240		at	1461	AT		ta	t a
3801	19952	hubercolumbian-Cuiba	cuib1242		back	1291	BACK		péi̵ma	p e ɨ m a
3802	19953	hubercolumbian-Cuiba	cuib1242		back	1291	BACK		pehúma	p e h u m a
3812	19963	hubercolumbian-Guahibo	guah1255		back	1291	BACK		pihúma	p i h u m a
3813	19964	hubercolumbian-Guahibo	guah1255		back	1291	BACK		pekoɸé:ɸere	p e k o ɸ eː ɸ e r e
3815	19966	hubercolumbian-Guayabero	guay1257		back	1291	BACK		peh matwí̵aht	p e h + m a t w ɨ a h t
3818	19969	hubercolumbian-Jitnu	maca1259		back	1291	BACK		hepʧí	h e p tʃ i
3832	19983	hubercolumbian-Playero	play1240		back	1291	BACK		pehúma	p e h u m a
4906	21057	hubercolumbian-Cuiba	cuib1242		bad	1292	BAD		ábe	a b e
4916	21067	hubercolumbian-Guahibo	guah1255		bad	1292	BAD		abéhe	a b e h e
4918	21069	hubercolumbian-Guayabero	guay1257		bad	1292	BAD		pabéh	p a b e h
4921	21072	hubercolumbian-Jitnu	maca1259		bad	1292	BAD		abé	a b e
4936	21087	hubercolumbian-Playero	play1240		bad	1292	BAD		abéhe	a b e h e
8753	24904	hubercolumbian-Cuiba	cuib1242		bark	1204	BARK		petsebókoto	p e ts e b o k o t o
8762	24913	hubercolumbian-Guahibo	guah1255		bark	1204	BARK		pebókoto	p e b o k o t o
8764	24915	hubercolumbian-Guayabero	guay1257		bark	1204	BARK		pabókt	p a b o k t
8765	24916	hubercolumbian-Guayabero	guay1257		bark	1204	BARK		nebókt	n e b o k t
8768	24919	hubercolumbian-Jitnu	maca1259		bark	1204	BARK		bokát	b o k a t
8783	24934	hubercolumbian-Playero	play1240		bark	1204	BARK		pebókoto	p e b o k o t o
12889	29040	hubercolumbian-Cuiba	cuib1242		bealive	1422	BE ALIVE		ási̵	a s ɨ
12899	29050	hubercolumbian-Guahibo	guah1255		bealive	1422	BE ALIVE		asái̵	a s a ɨ
12901	29052	hubercolumbian-Guayabero	guay1257		bealive	1422	BE ALIVE		tatí̵al	t a t ɨ a l
12904	29055	hubercolumbian-Jitnu	maca1259		bealive	1422	BE ALIVE		atsí̵	a ts ɨ
12920	29071	hubercolumbian-Playero	play1240		bealive	1422	BE ALIVE		así̵	a s ɨ
22723	38874	hubercolumbian-Cuiba	cuib1242		belly	1251	BELLY		pekotéri	p e k o t e r i
22724	38875	hubercolumbian-Cuiba	cuib1242		belly	1251	BELLY		pekotsóro	p e k o ts o r o
22725	38876	hubercolumbian-Cuiba	cuib1242		belly	1251	BELLY		pekotéri	p e k o t e r i
22745	38896	hubercolumbian-Guahibo	guah1255		belly	1251	BELLY		pekótoto	p e k o t o t o
22746	38897	hubercolumbian-Guahibo	guah1255		belly	1251	BELLY		pekotsóroto	p e k o ts o r o t o
22747	38898	hubercolumbian-Guahibo	guah1255		belly	1251	BELLY		pekótoto	p e k o t o t o
22750	38901	hubercolumbian-Guayabero	guay1257		belly	1251	BELLY		peh wéht	p e h + w e h t
22751	38902	hubercolumbian-Guayabero	guay1257		belly	1251	BELLY		peh weht	p e h + w e h t
22756	38907	hubercolumbian-Jitnu	maca1259		belly	1251	BELLY		pekuéter	p e k u e t e r
22757	38908	hubercolumbian-Jitnu	maca1259		belly	1251	BELLY		pekuéter	p e k u e t e r
22783	38934	hubercolumbian-Playero	play1240		belly	1251	BELLY		pekótsoro	p e k o ts o r o
22784	38935	hubercolumbian-Playero	play1240		belly	1251	BELLY		pekótsoro	p e k o ts o r o
27816	43967	hubercolumbian-Cuiba	cuib1242		big	1202	BIG		pínjo	p i n j o
27817	43968	hubercolumbian-Cuiba	cuib1242		big	1202	BIG		pínwa	p i n w a
27827	43978	hubercolumbian-Guahibo	guah1255		big	1202	BIG		ajáihawa	a j a i h a w a
27828	43979	hubercolumbian-Guahibo	guah1255		big	1202	BIG		piníhihawa	p i n i h i h a w a
27830	43981	hubercolumbian-Guayabero	guay1257		big	1202	BIG		pinhíxja	p i n h i x j a
27833	43984	hubercolumbian-Jitnu	maca1259		big	1202	BIG		pekná	p e k n a
27851	44002	hubercolumbian-Playero	play1240		big	1202	BIG		warabéwa	w a r a b e w a
30213	46364	hubercolumbian-Cuiba	cuib1242		bird	937	BIRD		pejapupúnaein	p e j a p u p u n a e i n
30222	46373	hubercolumbian-Guahibo	guah1255		bird	937	BIRD		baratsuíto	b a r a ts u i t o
30224	46375	hubercolumbian-Guayabero	guay1257		bird	937	BIRD		mian	m i a n
30227	46378	hubercolumbian-Jitnu	maca1259		bird	937	BIRD		uʔúto	u ʔ u t o
30244	46395	hubercolumbian-Playero	play1240		bird	937	BIRD		boroʧíto	b o r o tʃ i t o
32570	48721	hubercolumbian-Cuiba	cuib1242		bite	1403	BITE		síne	s i n e
32580	48731	hubercolumbian-Guahibo	guah1255		bite	1403	BITE		sí:ne	s iː n e
32582	48733	hubercolumbian-Guayabero	guay1257		bite	1403	BITE		líkal	l i k a l
32585	48736	hubercolumbian-Jitnu	maca1259		bite	1403	BITE		nikát	n i k a t
32598	48749	hubercolumbian-Playero	play1240		bite	1403	BITE		síni	s i n i
35172	51323	hubercolumbian-Cuiba	cuib1242		black	163	BLACK		tsáebia	ts a e b i a
35183	51334	hubercolumbian-Guahibo	guah1255		black	163	BLACK		tsáebia	ts a e b i a
35185	51336	hubercolumbian-Guayabero	guay1257		black	163	BLACK		paɸói	p a ɸ o i
35186	51337	hubercolumbian-Guayabero	guay1257		black	163	BLACK		paɸóijax	p a ɸ o i j a x
35189	51340	hubercolumbian-Jitnu	maca1259		black	163	BLACK		tsebí	ts e b i
35204	51355	hubercolumbian-Playero	play1240		black	163	BLACK		petsebíawa	p e ts e b i a w a
38585	54736	hubercolumbian-Cuiba	cuib1242		blood	946	BLOOD		pehána	p e h a n a
38595	54746	hubercolumbian-Guahibo	guah1255		blood	946	BLOOD		pehána	p e h a n a
38596	54747	hubercolumbian-Guahibo	guah1255		blood	946	BLOOD		pihána	p i h a n a
38598	54749	hubercolumbian-Guayabero	guay1257		blood	946	BLOOD		peh hal	p e h + h a l
38601	54752	hubercolumbian-Jitnu	maca1259		blood	946	BLOOD		hána	h a n a
38615	54766	hubercolumbian-Playero	play1240		blood	946	BLOOD		pehána	p e h a n a
40787	56938	hubercolumbian-Cuiba	cuib1242		blowofwind	175	BLOW (OF WIND)		opʰúba	o pʰ u b a
40797	56948	hubercolumbian-Guahibo	guah1255		blowofwind	175	BLOW (OF WIND)		uxúne	u x u n e
40798	56949	hubercolumbian-Guahibo	guah1255		blowofwind	175	BLOW (OF WIND)		uxúba	u x u b a
40799	56950	hubercolumbian-Guahibo	guah1255		blowofwind	175	BLOW (OF WIND)		uxúbapl	u x u b a p l
40800	56951	hubercolumbian-Guahibo	guah1255		blowofwind	175	BLOW (OF WIND)		bu:bú:hai	b uː b uː h a i
40802	56953	hubercolumbian-Guayabero	guay1257		blowofwind	175	BLOW (OF WIND)		ɸi̵	ɸ ɨ
40803	56954	hubercolumbian-Guayabero	guay1257		blowofwind	175	BLOW (OF WIND)		ɸi̵l	ɸ ɨ l
40806	56957	hubercolumbian-Jitnu	maca1259		blowofwind	175	BLOW (OF WIND)		papápeha	p a p a p e h a
40807	56958	hubercolumbian-Jitnu	maca1259		blowofwind	175	BLOW (OF WIND)		pũpṹhẽ	p ũ p ũ h ẽ
40829	56980	hubercolumbian-Playero	play1240		blowofwind	175	BLOW (OF WIND)		uɸude	u ɸ u d e
43021	59172	hubercolumbian-Cuiba	cuib1242		blunt	379	BLUNT		awánóbi	a w a n o b i
43032	59183	hubercolumbian-Guahibo	guah1255		blunt	379	BLUNT		awónobi	a w o n o b i
43033	59184	hubercolumbian-Guayabero	guay1257		blunt	379	BLUNT		bóel	b o e l
43034	59185	hubercolumbian-Guayabero	guay1257		blunt	379	BLUNT		bóʔel	b o ʔ e l
43037	59188	hubercolumbian-Jitnu	maca1259		blunt	379	BLUNT		bi̵rahí	b ɨ r a h i
43049	59200	hubercolumbian-Playero	play1240		blunt	379	BLUNT		awánabi	a w a n a b i
46814	62965	hubercolumbian-Cuiba	cuib1242		bone	1394	BONE		píwa	p i w a
46826	62977	hubercolumbian-Guahibo	guah1255		bone	1394	BONE		pesí:to	p e s iː t o
46828	62979	hubercolumbian-Guayabero	guay1257		bone	1394	BONE		peh tit	p e h + t i t
46831	62982	hubercolumbian-Jitnu	maca1259		bone	1394	BONE		peʧít	p e tʃ i t
46846	62997	hubercolumbian-Playero	play1240		bone	1394	BONE		pepíhibo	p e p i h i b o
83587	99740	hubercolumbian-Cuiba	cuib1242		childyounghuman	1304	CHILD (YOUNG HUMAN)		pexújo	p e x u j o
83600	99753	hubercolumbian-Guahibo	guah1255		childyounghuman	1304	CHILD (YOUNG HUMAN)		tsikirihíwijo:	ts i k i r i h i w i j oː
83601	99754	hubercolumbian-Guahibo	guah1255		childyounghuman	1304	CHILD (YOUNG HUMAN)		pehéwaxi:	p e h e w a x iː
83603	99756	hubercolumbian-Guayabero	guay1257		childyounghuman	1304	CHILD (YOUNG HUMAN)		jimxí̵ʧ	j i m x ɨ tʃ
83606	99759	hubercolumbian-Jitnu	maca1259		childyounghuman	1304	CHILD (YOUNG HUMAN)		sútio	s u t i o
83624	99777	hubercolumbian-Playero	play1240		childyounghuman	1304	CHILD (YOUNG HUMAN)		pihitánjo	p i h i t a n j o
91523	107676	hubercolumbian-Cuiba	cuib1242		cloud	1489	CLOUD		tsakinaebówa	ts a k i n a e b o w a
91532	107685	hubercolumbian-Guahibo	guah1255		cloud	1489	CLOUD		itarí̵ri̵bo	i t a r ɨ r ɨ b o
91534	107687	hubercolumbian-Guayabero	guay1257		cloud	1489	CLOUD		ʔitlóhen	ʔ i t l o h e n
91537	107690	hubercolumbian-Jitnu	maca1259		cloud	1489	CLOUD		mĩ̵́tẽ	m ɨ̃ t ẽ
91552	107705	hubercolumbian-Playero	play1240		cloud	1489	CLOUD		pahubówa bã́ja dúka	p a h u b o w a + b ã j a + d u k a
91553	107706	hubercolumbian-Playero	play1240		cloud	1489	CLOUD		pitari̵bobówa	p i t a r ɨ b o b o w a
98754	114907	hubercolumbian-Cuiba	cuib1242		come	1446	COME		páta	p a t a
98755	114908	hubercolumbian-Cuiba	cuib1242		come	1446	COME		wérena	w e r e n a
98766	114919	hubercolumbian-Guahibo	guah1255		come	1446	COME		páta	p a t a
98767	114920	hubercolumbian-Guahibo	guah1255		come	1446	COME		patahó:pa	p a t a h oː p a
98768	114921	hubercolumbian-Guahibo	guah1255		come	1446	COME		nahetáruka	n a h e t a r u k a
98770	114923	hubercolumbian-Guayabero	guay1257		come	1446	COME		ɸaláen	ɸ a l a e n
98773	114926	hubercolumbian-Jitnu	maca1259		come	1446	COME		nít	n i t
98788	114941	hubercolumbian-Playero	play1240		come	1446	COME		táhi̵ weponárina	t a h ɨ + w e p o n a r i n a
104837	120990	hubercolumbian-Cuiba	cuib1242		correctright	1725	CORRECT (RIGHT)		béta	b e t a
104838	120991	hubercolumbian-Cuiba	cuib1242		correctright	1725	CORRECT (RIGHT)		xáinjei	x a i n j e i
104846	120999	hubercolumbian-Guahibo	guah1255		correctright	1725	CORRECT (RIGHT)		xaníahai	x a n i a h a i
104848	121001	hubercolumbian-Guayabero	guay1257		correctright	1725	CORRECT (RIGHT)		dieʧpáʔ	d i e tʃ p a ʔ
104853	121006	hubercolumbian-Jitnu	maca1259		correctright	1725	CORRECT (RIGHT)		wí̵ne	w ɨ n e
115061	131214	hubercolumbian-Cuiba	cuib1242		cut	1432	CUT		tʰába	tʰ a b a
115072	131225	hubercolumbian-Guahibo	guah1255		cut	1432	CUT		ukúta	u k u t a
115073	131226	hubercolumbian-Guahibo	guah1255		cut	1432	CUT		nikáta	n i k a t a
115074	131227	hubercolumbian-Guahibo	guah1255		cut	1432	CUT		kaxiúta	k a x i u t a
115075	131228	hubercolumbian-Guahibo	guah1255		cut	1432	CUT		thá:ba	t h aː b a
115077	131230	hubercolumbian-Guayabero	guay1257		cut	1432	CUT		tasíapa	t a s i a p a
115080	131233	hubercolumbian-Jitnu	maca1259		cut	1432	CUT		ukápet	u k a p e t
115104	131257	hubercolumbian-Playero	play1240		cut	1432	CUT		ukubabáne	u k u b a b a n e
115105	131258	hubercolumbian-Playero	play1240		cut	1432	CUT		ukúta	u k u t a
115106	131259	hubercolumbian-Playero	play1240		cut	1432	CUT		kahí̵aka	k a h ɨ a k a
121702	137857	hubercolumbian-Cuiba	cuib1242		daynotnight	1225	DAY (NOT NIGHT)		mátakabi	m a t a k a b i
121711	137866	hubercolumbian-Guahibo	guah1255		daynotnight	1225	DAY (NOT NIGHT)		mátakabi	m a t a k a b i
121713	137868	hubercolumbian-Guayabero	guay1257		daynotnight	1225	DAY (NOT NIGHT)		matkói	m a t k o i
121716	137871	hubercolumbian-Jitnu	maca1259		daynotnight	1225	DAY (NOT NIGHT)		matkái	m a t k a i
121732	137887	hubercolumbian-Playero	play1240		daynotnight	1225	DAY (NOT NIGHT)		matakábi	m a t a k a b i
126965	143120	hubercolumbian-Cuiba	cuib1242		die	1494	DIE		tí̵pa	t ɨ p a
126976	143131	hubercolumbian-Guahibo	guah1255		die	1494	DIE		tí̵:pa	t ɨː p a
126978	143133	hubercolumbian-Guayabero	guay1257		die	1494	DIE		ti̵p	t ɨ p
126981	143136	hubercolumbian-Jitnu	maca1259		die	1494	DIE		ti̵p	t ɨ p
126998	143153	hubercolumbian-Playero	play1240		die	1494	DIE		tí̵pa	t ɨ p a
129623	145778	hubercolumbian-Cuiba	cuib1242		dig	1418	DIG		kuá	k u a
129633	145788	hubercolumbian-Guahibo	guah1255		dig	1418	DIG		kua	k u a
129635	145790	hubercolumbian-Guayabero	guay1257		dig	1418	DIG		kow	k o w
129638	145793	hubercolumbian-Jitnu	maca1259		dig	1418	DIG		ukuá	u k u a
129653	145808	hubercolumbian-Playero	play1240		dig	1418	DIG		áʧa kahúka	a tʃ a + k a h u k a
129654	145809	hubercolumbian-Playero	play1240		dig	1418	DIG		áʧa kúane	a tʃ a + k u a n e
131622	147777	hubercolumbian-Cuiba	cuib1242		dirty	1230	DIRTY		tsórei	ts o r e i
131623	147778	hubercolumbian-Cuiba	cuib1242		dirty	1230	DIRTY		axuíra	a x u i r a
131632	147787	hubercolumbian-Guahibo	guah1255		dirty	1230	DIRTY		axuíra	a x u i r a
131634	147789	hubercolumbian-Guayabero	guay1257		dirty	1230	DIRTY		as dáʔnik	a s + d a ʔ n i k
131637	147792	hubercolumbian-Jitnu	maca1259		dirty	1230	DIRTY		ʧibí	tʃ i b i
131657	147812	hubercolumbian-Playero	play1240		dirty	1230	DIRTY		axuíra	a x u i r a
135529	151684	hubercolumbian-Cuiba	cuib1242		dog	2009	DOG		áudi	a u d i
135530	151685	hubercolumbian-Cuiba	cuib1242		dog	2009	DOG		áuri	a u r i
135539	151694	hubercolumbian-Guahibo	guah1255		dog	2009	DOG		awíri	a w i r i
135541	151696	hubercolumbian-Guayabero	guay1257		dog	2009	DOG		wi̵r	w ɨ r
135544	151699	hubercolumbian-Jitnu	maca1259		dog	2009	DOG		awíl	a w i l
135557	151712	hubercolumbian-Playero	play1240		dog	2009	DOG		awíri	a w i r i
141995	158150	hubercolumbian-Cuiba	cuib1242		drink	1401	DRINK		ápa	a p a
142005	158160	hubercolumbian-Guahibo	guah1255		drink	1401	DRINK		ápa	a p a
142007	158162	hubercolumbian-Guayabero	guay1257		drink	1401	DRINK		ʔáɸ	ʔ a ɸ
142010	158165	hubercolumbian-Jitnu	maca1259		drink	1401	DRINK		áp	a p
142025	158180	hubercolumbian-Playero	play1240		drink	1401	DRINK		apáne	a p a n e
145638	161793	hubercolumbian-Cuiba	cuib1242		dry	1398	DRY		tséwa	ts e w a
145648	161803	hubercolumbian-Guahibo	guah1255		dry	1398	DRY		tsé:wa	ts eː w a
145650	161805	hubercolumbian-Guayabero	guay1257		dry	1398	DRY		siow	s i o w
145651	161806	hubercolumbian-Guayabero	guay1257		dry	1398	DRY		sens mamóʔal	s e n s + m a m o ʔ a l
145655	161810	hubercolumbian-Jitnu	maca1259		dry	1398	DRY		pí̵rre	p ɨ r r e
145670	161825	hubercolumbian-Playero	play1240		dry	1398	DRY		pesíanéwa	p e s i a n e w a
148625	164780	hubercolumbian-Cuiba	cuib1242		dust	2	DUST		íra múrei	i r a + m u r e i
148626	164781	hubercolumbian-Cuiba	cuib1242		dust	2	DUST		átsabéno	a ts a b e n o
148637	164792	hubercolumbian-Guahibo	guah1255		dust	2	DUST		átsabeno	a ts a b e n o
148639	164794	hubercolumbian-Guayabero	guay1257		dust	2	DUST		ʔasbélin	ʔ a s b e l i n
148642	164797	hubercolumbian-Jitnu	maca1259		dust	2	DUST		puwúmpeha	p u w u m p e h a
148658	164813	hubercolumbian-Playero	play1240		dust	2	DUST		átsa tsi̵ki̵tsi̵ki̵n	a ts a + ts ɨ k ɨ ts ɨ k ɨ n
151068	167223	hubercolumbian-Cuiba	cuib1242		ear	1247	EAR		pemuxujoróto	p e m u x u j o r o t o
151078	167233	hubercolumbian-Guahibo	guah1255		ear	1247	EAR		pemuxujóroto	p e m u x u j o r o t o
151080	167235	hubercolumbian-Guayabero	guay1257		ear	1247	EAR		peh neʧóʔt	p e h + n e tʃ o ʔ t
151083	167238	hubercolumbian-Jitnu	maca1259		ear	1247	EAR		pemkórat	p e m k o r a t
151098	167253	hubercolumbian-Playero	play1240		ear	1247	EAR		pemúxujoróto	p e m u x u j o r o t o
153974	170129	hubercolumbian-Cuiba	cuib1242		earthsoil	1228	EARTH (SOIL)		íra	i r a
153985	170140	hubercolumbian-Guahibo	guah1255		earthsoil	1228	EARTH (SOIL)		íra	i r a
153986	170141	hubercolumbian-Guahibo	guah1255		earthsoil	1228	EARTH (SOIL)		átsa	a ts a
153988	170143	hubercolumbian-Guayabero	guay1257		earthsoil	1228	EARTH (SOIL)		sat	s a t
153989	170144	hubercolumbian-Guayabero	guay1257		earthsoil	1228	EARTH (SOIL)		as	a s
153992	170147	hubercolumbian-Jitnu	maca1259		earthsoil	1228	EARTH (SOIL)		as	a s
154010	170165	hubercolumbian-Playero	play1240		earthsoil	1228	EARTH (SOIL)		irá	i r a
154011	170166	hubercolumbian-Playero	play1240		earthsoil	1228	EARTH (SOIL)		aʧáto	a tʃ a t o
156573	172728	hubercolumbian-Cuiba	cuib1242		eat	1336	EAT		xáne	x a n e
156587	172742	hubercolumbian-Guahibo	guah1255		eat	1336	EAT		xáne	x a n e
156589	172744	hubercolumbian-Guayabero	guay1257		eat	1336	EAT		xael	x a e l
156593	172748	hubercolumbian-Jitnu	maca1259		eat	1336	EAT		ken	k e n
156614	172769	hubercolumbian-Playero	play1240		eat	1336	EAT		xáne	x a n e
158907	175065	hubercolumbian-Cuiba	cuib1242		egg	744	EGG		petóuto	p e t o u t o
158918	175076	hubercolumbian-Guahibo	guah1255		egg	744	EGG		petobí̵:to	p e t o b ɨː t o
158920	175078	hubercolumbian-Guayabero	guay1257		egg	744	EGG		peh tabí̵t	p e h + t a b ɨ t
158923	175081	hubercolumbian-Jitnu	maca1259		egg	744	EGG		pebí̵t	p e b ɨ t
158937	175095	hubercolumbian-Playero	play1240		egg	744	EGG		petábto	p e t a b t o
169474	185632	hubercolumbian-Cuiba	cuib1242		eye	1248	EYE		peitamaikéito	p e i t a m a i k e i t o
169475	185633	hubercolumbian-Cuiba	cuib1242		eye	1248	EYE		petakuereto	p e t a k u e r e t o
169484	185642	hubercolumbian-Guahibo	guah1255		eye	1248	EYE		pi:taxú:to	p iː t a x uː t o
169486	185644	hubercolumbian-Guayabero	guay1257		eye	1248	EYE		peh ʔitɸút	p e h + ʔ i t ɸ u t
169489	185647	hubercolumbian-Jitnu	maca1259		eye	1248	EYE		pitpút	p i t p u t
169503	185661	hubercolumbian-Playero	play1240		eye	1248	EYE		pítaxúto	p i t a x u t o
173469	189628	hubercolumbian-Cuiba	cuib1242		fall	1280	FALL		hópa	h o p a
173470	189629	hubercolumbian-Cuiba	cuib1242		fall	1280	FALL		óthopa	o t h o p a
173471	189630	hubercolumbian-Cuiba	cuib1242		fall	1280	FALL		hopéika	h o p e i k a
173472	189631	hubercolumbian-Cuiba	cuib1242		fall	1280	FALL		de arriba	d e + a r r i b a
173481	189640	hubercolumbian-Guahibo	guah1255		fall	1280	FALL		hó:pa	h oː p a
173482	189641	hubercolumbian-Guahibo	guah1255		fall	1280	FALL		othópa	o t h o p a
173483	189642	hubercolumbian-Guahibo	guah1255		fall	1280	FALL		bókahunua	b o k a h u n u a
173485	189644	hubercolumbian-Guayabero	guay1257		fall	1280	FALL		hop	h o p
173488	189647	hubercolumbian-Jitnu	maca1259		fall	1280	FALL		bókuna	b o k u n a
173504	189663	hubercolumbian-Playero	play1240		fall	1280	FALL		itahópa	i t a h o p a
175747	191906	hubercolumbian-Cuiba	cuib1242		far	1406	FAR		táhi̵	t a h ɨ
175758	191917	hubercolumbian-Guahibo	guah1255		far	1406	FAR		tá:hi̵	t aː h ɨ
175760	191919	hubercolumbian-Guayabero	guay1257		far	1406	FAR		ʔatí̵ah	ʔ a t ɨ a h
175763	191922	hubercolumbian-Jitnu	maca1259		far	1406	FAR		tí̵nakua	t ɨ n a k u a
175776	191935	hubercolumbian-Playero	play1240		far	1406	FAR		táhi̵	t a h ɨ
179622	195781	hubercolumbian-Cuiba	cuib1242		father	1217	FATHER		áxa	a x a
179632	195791	hubercolumbian-Guahibo	guah1255		father	1217	FATHER		á:xa:	aː x aː
179633	195792	hubercolumbian-Guahibo	guah1255		father	1217	FATHER		á:pa:	aː p aː
179635	195794	hubercolumbian-Guayabero	guay1257		father	1217	FATHER		ʔax	ʔ a x
179639	195798	hubercolumbian-Jitnu	maca1259		father	1217	FATHER		atéi	a t e i
179640	195799	hubercolumbian-Jitnu	maca1259		father	1217	FATHER		áit	a i t
179641	195800	hubercolumbian-Jitnu	maca1259		father	1217	FATHER		áti	a t i
179663	195822	hubercolumbian-Playero	play1240		father	1217	FATHER		axá	a x a
179664	195823	hubercolumbian-Playero	play1240		father	1217	FATHER		áxa	a x a
183727	199887	hubercolumbian-Cuiba	cuib1242		fearbeafraid	1419	FEAR (BE AFRAID)		kunúwa	k u n u w a
183728	199888	hubercolumbian-Cuiba	cuib1242		fearbeafraid	1419	FEAR (BE AFRAID)		hunúwa	h u n u w a
183739	199899	hubercolumbian-Guahibo	guah1255		fearbeafraid	1419	FEAR (BE AFRAID)		kuhúnawa	k u h u n a w a
183740	199900	hubercolumbian-Guahibo	guah1255		fearbeafraid	1419	FEAR (BE AFRAID)		hunáwa	h u n a w a
183742	199902	hubercolumbian-Guayabero	guay1257		fearbeafraid	1419	FEAR (BE AFRAID)		pehléwla	p e h l e w l a
183745	199905	hubercolumbian-Jitnu	maca1259		fearbeafraid	1419	FEAR (BE AFRAID)		huná	h u n a
183761	199921	hubercolumbian-Playero	play1240		fearbeafraid	1419	FEAR (BE AFRAID)		hunáwa	h u n a w a
183762	199922	hubercolumbian-Playero	play1240		fearbeafraid	1419	FEAR (BE AFRAID)		kuhúnawa	k u h u n a w a
184810	200970	hubercolumbian-Cuiba	cuib1242		feather	1201	FEATHER		baratsúna	b a r a ts u n a
184819	200979	hubercolumbian-Guahibo	guah1255		feather	1201	FEATHER		balá:tuna	b a l aː t u n a
184821	200981	hubercolumbian-Guayabero	guay1257		feather	1201	FEATHER		parátna	p a r a t n a
184824	200984	hubercolumbian-Jitnu	maca1259		feather	1201	FEATHER		mantsaná	m a n ts a n a
184839	200999	hubercolumbian-Playero	play1240		feather	1201	FEATHER		balatúnakúito	b a l a t u n a k u i t o
187138	219791	hubercolumbian-Cuiba	cuib1242		fleshormeat	2615	FLESH OR MEAT		pewíto	p e w i t o
187150	219803	hubercolumbian-Guahibo	guah1255		fleshormeat	2615	FLESH OR MEAT		pewí:to	p e w iː t o
187152	219805	hubercolumbian-Guayabero	guay1257		fleshormeat	2615	FLESH OR MEAT		pawít	p a w i t
187155	219808	hubercolumbian-Jitnu	maca1259		fleshormeat	2615	FLESH OR MEAT		pewít	p e w i t
187172	219825	hubercolumbian-Playero	play1240		fleshormeat	2615	FLESH OR MEAT		pewíto	p e w i t o
188760	221413	hubercolumbian-Cuiba	cuib1242		flow	2003	FLOW		méne píʧipa	m e n e + p i tʃ i p a
188765	221418	hubercolumbian-Guahibo	guah1255		flow	2003	FLOW		nawó:ta	n a w oː t a
188767	221420	hubercolumbian-Guayabero	guay1257		flow	2003	FLOW		min ɸol	m i n + ɸ o l
188783	221436	hubercolumbian-Playero	play1240		flow	2003	FLOW		nawótarúka	n a w o t a r u k a
189834	222487	hubercolumbian-Cuiba	cuib1242		flower	239	FLOWER		pentónto	p e n t o n t o
189842	222495	hubercolumbian-Guahibo	guah1255		flower	239	FLOWER		pematónoto	p e m a t o n o t o
189844	222497	hubercolumbian-Guayabero	guay1257		flower	239	FLOWER		patál	p a t a l
189845	222498	hubercolumbian-Guayabero	guay1257		flower	239	FLOWER		netál	n e t a l
189848	222501	hubercolumbian-Jitnu	maca1259		flower	239	FLOWER		pemátan	p e m a t a n
189863	222516	hubercolumbian-Playero	play1240		flower	239	FLOWER		pemátonóto	p e m a t o n o t o
192768	225421	hubercolumbian-Cuiba	cuib1242		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		pupúna	p u p u n a
192777	225430	hubercolumbian-Guahibo	guah1255		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		pú:na	p uː n a
192779	225432	hubercolumbian-Guayabero	guay1257		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		papún	p a p u n
192780	225433	hubercolumbian-Guayabero	guay1257		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		púnhala	p u n h a l a
192784	225437	hubercolumbian-Jitnu	maca1259		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		japúnra	j a p u n r a
192799	225452	hubercolumbian-Playero	play1240		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		naɸátaba	n a ɸ a t a b a
194416	227069	hubercolumbian-Cuiba	cuib1242		fog	249	FOG		nóbo	n o b o
194422	227075	hubercolumbian-Guahibo	guah1255		fog	249	FOG		nohóbo	n o h o b o
194424	227077	hubercolumbian-Guayabero	guay1257		fog	249	FOG		nasí̵xan	n a s ɨ x a n
194426	227079	hubercolumbian-Jitnu	maca1259		fog	249	FOG		nóp	n o p
194439	227092	hubercolumbian-Playero	play1240		fog	249	FOG		nohóbo	n o h o b o
196075	228728	hubercolumbian-Cuiba	cuib1242		foot	1301	FOOT		petáxu	p e t a x u
196085	228738	hubercolumbian-Guahibo	guah1255		foot	1301	FOOT		petáxu	p e t a x u
196087	228740	hubercolumbian-Guayabero	guay1257		foot	1301	FOOT		peh tí̵ak	p e h + t ɨ a k
196090	228743	hubercolumbian-Jitnu	maca1259		foot	1301	FOOT		petkút	p e t k u t
196105	228758	hubercolumbian-Playero	play1240		foot	1301	FOOT		petáxu	p e t a x u
202411	235064	hubercolumbian-Cuiba	cuib1242		four	1500	FOUR		nakuétabe	n a k u e t a b e
202420	235073	hubercolumbian-Guahibo	guah1255		four	1500	FOUR		penajánatsi	p e n a j a n a ts i
