	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
3872	20023	johanssonsoundsymbolic-Bambassi	bamb1262		back	1291	BACK		tin	t i n
4983	21134	johanssonsoundsymbolic-Bambassi	bamb1262		bad	1292	BAD		tʼsʼege	tsʼ e g e
8825	24976	johanssonsoundsymbolic-Bambassi	bamb1262		bark	1204	BARK		iinskʼokʼiʃe	iː n s kʼ o kʼ i ʃ e
12965	29116	johanssonsoundsymbolic-Bambassi	bamb1262		bealive	1422	BE ALIVE		kob	k o b
16302	32453	johanssonsoundsymbolic-Bambassi	bamb1262		because	1157	BECAUSE		are	a r e
22857	39008	johanssonsoundsymbolic-Bambassi	bamb1262		belly	1251	BELLY		til	t i l
27897	44048	johanssonsoundsymbolic-Bambassi	bamb1262		big	1202	BIG		kema	k e m a
30290	46441	johanssonsoundsymbolic-Bambassi	bamb1262		bird	937	BIRD		kape	k a p e
32638	48789	johanssonsoundsymbolic-Bambassi	bamb1262		bite	1403	BITE		tasa	t a s a
35248	51399	johanssonsoundsymbolic-Bambassi	bamb1262		black	163	BLACK		tʼiʃin	tʼ i ʃ i n
38660	54811	johanssonsoundsymbolic-Bambassi	bamb1262		blood	946	BLOOD		hande	h a n d e
40886	57037	johanssonsoundsymbolic-Bambassi	bamb1262		blowofwind	175	BLOW (OF WIND)		ʃiwa	ʃ i w a
46889	63040	johanssonsoundsymbolic-Bambassi	bamb1262		bone	1394	BONE		maaltʼ	m aː l tʼ
58915	75068	johanssonsoundsymbolic-Bambassi	bamb1262		breathe	1407	BREATHE		kosa	k o s a
91590	107743	johanssonsoundsymbolic-Bambassi	bamb1262		cloud	1489	CLOUD		ʃeele	ʃ eː l e
98829	114982	johanssonsoundsymbolic-Bambassi	bamb1262		come	1446	COME		ki	k i
104899	121052	johanssonsoundsymbolic-Bambassi	bamb1262		correctright	1725	CORRECT (RIGHT)		anasaaje	a n a s aː j e
121773	137928	johanssonsoundsymbolic-Bambassi	bamb1262		daynotnight	1225	DAY (NOT NIGHT)		aw	a w
127049	143204	johanssonsoundsymbolic-Bambassi	bamb1262		die	1494	DIE		hekʼa	h e kʼ a
135599	151754	johanssonsoundsymbolic-Bambassi	bamb1262		dog	2009	DOG		kane	k a n e
142068	158223	johanssonsoundsymbolic-Bambassi	bamb1262		drink	1401	DRINK		iʃ	i ʃ
145712	161867	johanssonsoundsymbolic-Bambassi	bamb1262		dry	1398	DRY		kaŋgala	k a ŋ g a l a
148697	164852	johanssonsoundsymbolic-Bambassi	bamb1262		dust	2	DUST		pʼukʼe	pʼ u kʼ e
151142	167297	johanssonsoundsymbolic-Bambassi	bamb1262		ear	1247	EAR		waale	w aː l e
154065	170220	johanssonsoundsymbolic-Bambassi	bamb1262		earthsoil	1228	EARTH (SOIL)		kʼets	kʼ e ts
156666	172821	johanssonsoundsymbolic-Bambassi	bamb1262		eat	1336	EAT		mi	m i
158978	175136	johanssonsoundsymbolic-Bambassi	bamb1262		egg	744	EGG		kjale	k j a l e
169546	185704	johanssonsoundsymbolic-Bambassi	bamb1262		eye	1248	EYE		aap	aː p
173552	189711	johanssonsoundsymbolic-Bambassi	bamb1262		fall	1280	FALL		pek	p e k
175821	191980	johanssonsoundsymbolic-Bambassi	bamb1262		far	1406	FAR		wake	w a k e
184878	201038	johanssonsoundsymbolic-Bambassi	bamb1262		feather	1201	FEATHER		kwapʼe	k w a pʼ e
189907	222560	johanssonsoundsymbolic-Bambassi	bamb1262		flower	239	FLOWER		funde	f u n d e
192836	225489	johanssonsoundsymbolic-Bambassi	bamb1262		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		tʼsʼiŋe	tsʼ i ŋ e
196148	228801	johanssonsoundsymbolic-Bambassi	bamb1262		foot	1301	FOOT		tuge	t u g e
202480	235133	johanssonsoundsymbolic-Bambassi	bamb1262		four	1500	FOUR		metʼsʼe	m e tsʼ e
214576	247229	johanssonsoundsymbolic-Bambassi	bamb1262		give	1447	GIVE		ta	t a
220703	253359	johanssonsoundsymbolic-Bambassi	bamb1262		good	1035	GOOD		nok	n o k
226153	258809	johanssonsoundsymbolic-Bambassi	bamb1262		grass	606	GRASS		maare	m aː r e
234505	267161	johanssonsoundsymbolic-Bambassi	bamb1262		hair	1040	HAIR		tookkwiintʼe	t oː kː w iː n tʼ e
238346	271002	johanssonsoundsymbolic-Bambassi	bamb1262		hand	1277	HAND		kus	k u s
243901	276558	johanssonsoundsymbolic-Bambassi	bamb1262		head	1256	HEAD		took	t oː k
246849	279506	johanssonsoundsymbolic-Bambassi	bamb1262		hear	1408	HEAR		kʼew	kʼ e w
248431	281088	johanssonsoundsymbolic-Bambassi	bamb1262		heart	1223	HEART		eeŋe	eː ŋ e
250601	283258	johanssonsoundsymbolic-Bambassi	bamb1262		heavy	1210	HEAVY		paale	p aː l e
254436	287095	johanssonsoundsymbolic-Bambassi	bamb1262		here	136	HERE		naʃ	n a ʃ
258679	291339	johanssonsoundsymbolic-Bambassi	bamb1262		hit	1433	HIT		heza	h e z a
268821	301481	johanssonsoundsymbolic-Bambassi	bamb1262		how	1239	HOW		nuun	n uː n
274653	307313	johanssonsoundsymbolic-Bambassi	bamb1262		i	1209	I		tije	t i j e
278000	310660	johanssonsoundsymbolic-Bambassi	bamb1262		in	1460	IN		sise	s i s e
287498	320158	johanssonsoundsymbolic-Bambassi	bamb1262		kill	1417	KILL		pia	p i a
298980	331640	johanssonsoundsymbolic-Bambassi	bamb1262		laugh	1355	LAUGH		kotʼsʼ	k o tsʼ
302136	334796	johanssonsoundsymbolic-Bambassi	bamb1262		leaf	628	LEAF		waale	w aː l e
305262	337922	johanssonsoundsymbolic-Bambassi	bamb1262		left	244	LEFT		weŋgilʃawe	w e ŋ g i l ʃ a w e
316904	349564	johanssonsoundsymbolic-Bambassi	bamb1262		liver	1224	LIVER		mele	m e l e
323450	356110	johanssonsoundsymbolic-Bambassi	bamb1262		louse	1392	LOUSE		kʼiʃe	kʼ i ʃ e
332232	364893	johanssonsoundsymbolic-Bambassi	bamb1262		many	1198	MANY		gjaa	g j aː
350878	383542	johanssonsoundsymbolic-Bambassi	bamb1262		mountain	639	MOUNTAIN		ʃowe	ʃ o w e
353387	386051	johanssonsoundsymbolic-Bambassi	bamb1262		mouth	674	MOUTH		pons	p o n s
358406	391070	johanssonsoundsymbolic-Bambassi	bamb1262		name	1405	NAME		tuge	t u g e
