	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
2941	19092	transnewguineaorg-berinomo	beri1253		baby	1289	BABY		maheyo_upat	m a h e j o + u p a t
2948	19099	transnewguineaorg-chenapian	chen1259		baby	1289	BABY		jɛn_ebaṣoʔ	j ɛ n + e b a s o ʔ
2949	19100	transnewguineaorg-chenapian	chen1259		baby	1289	BABY		džomap	dʒ o m a p
3869	20020	johanssonsoundsymbolic-Awtuw	awtu1239		back	1291	BACK		jekhmakh	j e kʰ m a kʰ
4980	21131	johanssonsoundsymbolic-Awtuw	awtu1239		bad	1292	BAD		monokhene	m o n o kʰ e n e
7441	23592	transnewguineaorg-alamblak	alam1246		bamboo	1927	BAMBOO		kʌnepm	k ʌ n e p m
7457	23608	transnewguineaorg-bahinemo	bahi1254		bamboo	1927	BAMBOO		gani	g a n i
7478	23629	transnewguineaorg-kapriman	kapr1245		bamboo	1927	BAMBOO		khʌnɩs	k h ʌ n ɪ s
7530	23681	transnewguineaorg-saniyo-hiyewe	sani1270		bamboo	1927	BAMBOO		mɛnɛ'ɛ	m ɛ n ɛ ɛ
8000	24151	transnewguineaorg-alamblak	alam1246		banana	868	BANANA		'gɛ̈niatʰ	g ɛ n i a tʰ
8001	24152	transnewguineaorg-alamblak	alam1246		banana	868	BANANA		gʌnigam	g ʌ n i g a m
8031	24182	transnewguineaorg-bahinemo	bahi1254		banana	868	BANANA		gʌni	g ʌ n i
8042	24193	transnewguineaorg-berinomo	beri1253		banana	868	BANANA		on	o n
8046	24197	transnewguineaorg-bisis	bisi1244		banana	868	BANANA		gonos	g o n o s
8056	24207	transnewguineaorg-chenapian	chen1259		banana	868	BANANA		nab	n a b
8057	24208	transnewguineaorg-chenapian	chen1259		banana	868	BANANA		nam	n a m
8109	24260	transnewguineaorg-kapriman	kapr1245		banana	868	BANANA		gʌnʌga	g ʌ n ʌ g a
8197	24348	transnewguineaorg-saniyo-hiyewe	sani1270		banana	868	BANANA		'one	o n e
8822	24973	johanssonsoundsymbolic-Awtuw	awtu1239		bark	1204	BARK		thawmowjæj	tʰ a w m o w j æ j
9313	25464	transnewguineaorg-bisis	bisi1244		bark	1204	BARK		motibik	m o t i b i k
9388	25539	transnewguineaorg-saniyo-hiyewe	sani1270		bark	1204	BARK		metahɛ	m e t a h ɛ
12962	29113	johanssonsoundsymbolic-Awtuw	awtu1239		bealive	1422	BE ALIVE		ikhij	i kʰ i j
16299	32450	johanssonsoundsymbolic-Awtuw	awtu1239		because	1157	BECAUSE		olsem	o l s e m
20451	36602	johanssonsoundsymbolic-Awtuw	awtu1239		behind	1686	BEHIND		jekhɾnakhe	j e kʰ ɾ n a kʰ e
22854	39005	johanssonsoundsymbolic-Awtuw	awtu1239		belly	1251	BELLY		wækh	w æ kʰ
23526	39677	transnewguineaorg-alamblak	alam1246		belly	1251	BELLY		'ya'tʰɩʀ̥̌	j a tʰ ɪ r
23527	39678	transnewguineaorg-alamblak	alam1246		belly	1251	BELLY		yalith	j a l i t h
23552	39703	transnewguineaorg-bahinemo	bahi1254		belly	1251	BELLY		law	l a w
23561	39712	transnewguineaorg-berinomo	beri1253		belly	1251	BELLY		horokwi	h o r o k w i
23564	39715	transnewguineaorg-bisis	bisi1244		belly	1251	BELLY		lawo	l a w o
23576	39727	transnewguineaorg-chenapian	chen1259		belly	1251	BELLY		əban	ə b a n
23577	39728	transnewguineaorg-chenapian	chen1259		belly	1251	BELLY		up	u p
23635	39786	transnewguineaorg-kapriman	kapr1245		belly	1251	BELLY		fanis	f a n i s
23735	39886	transnewguineaorg-saniyo-hiyewe	sani1270		belly	1251	BELLY		liřɛ	l i r̝ ɛ
23736	39887	transnewguineaorg-saniyo-hiyewe	sani1270		belly	1251	BELLY		rivɛ	r i v ɛ
24510	40661	johanssonsoundsymbolic-Awtuw	awtu1239		beloworunder	1485	BELOW OR UNDER		dijakhekhe	d i j a kʰ e kʰ e
25735	41886	johanssonsoundsymbolic-Awtuw	awtu1239		beside	1816	BESIDE		amolekhe	a m o l e kʰ e
26006	42157	transnewguineaorg-alamblak	alam1246		betelnut	217	BETELNUT		yʌbmum	j ʌ b m u m
26020	42171	transnewguineaorg-bahinemo	bahi1254		betelnut	217	BETELNUT		khʌday	k h ʌ d a j
26052	42203	transnewguineaorg-kapriman	kapr1245		betelnut	217	BETELNUT		yʌsukha	j ʌ s u k h a
26107	42258	transnewguineaorg-saniyo-hiyewe	sani1270		betelnut	217	BETELNUT		veve	v e v e
26463	42614	johanssonsoundsymbolic-Awtuw	awtu1239		between	689	BETWEEN		lukhwo	l u kʰ w o
27894	44045	johanssonsoundsymbolic-Awtuw	awtu1239		big	1202	BIG		waɾukhe	w a ɾ u kʰ e
28693	44844	transnewguineaorg-alamblak	alam1246		big	1202	BIG		břotʰ	b r̝ o tʰ
28694	44845	transnewguineaorg-alamblak	alam1246		big	1202	BIG		bʌdokham	b ʌ d o k h a m
28724	44875	transnewguineaorg-bahinemo	bahi1254		big	1202	BIG		bʌdo	b ʌ d o
28736	44887	transnewguineaorg-berinomo	beri1253		big	1202	BIG		pa_pɛtu	p a + p ɛ t u
28740	44891	transnewguineaorg-bisis	bisi1244		big	1202	BIG		_siŋgeʔok	s i ŋ g e ʔ o k
28758	44909	transnewguineaorg-chenapian	chen1259		big	1202	BIG		tamtiɛn	t a m t i ɛ n
28759	44910	transnewguineaorg-chenapian	chen1259		big	1202	BIG		nok	n o k
28827	44978	transnewguineaorg-kapriman	kapr1245		big	1202	BIG		marbe	m a r b e
28940	45091	transnewguineaorg-saniyo-hiyewe	sani1270		big	1202	BIG		ařasi	a r̝ a s i
28941	45092	transnewguineaorg-saniyo-hiyewe	sani1270		big	1202	BIG		rasi	r a s i
30287	46438	johanssonsoundsymbolic-Awtuw	awtu1239		bird	937	BIRD		ji	j i
31030	47181	transnewguineaorg-alamblak	alam1246		bird	937	BIRD		'nugwaʀ̥̌	n u g w a r
31031	47182	transnewguineaorg-alamblak	alam1246		bird	937	BIRD		nongwar	n o n g w a r
31065	47216	transnewguineaorg-bahinemo	bahi1254		bird	937	BIRD		wabo	w a b o
31077	47228	transnewguineaorg-berinomo	beri1253		bird	937	BIRD		uro	u r o
31081	47232	transnewguineaorg-bisis	bisi1244		bird	937	BIRD		nuŋgař	n u ŋ g a r̝
31093	47244	transnewguineaorg-chenapian	chen1259		bird	937	BIRD		ǰɛoši	dʒ ɛ o ʂ i
31094	47245	transnewguineaorg-chenapian	chen1259		bird	937	BIRD		džɛosiʔ	dʒ ɛ o s i ʔ
31169	47320	transnewguineaorg-kapriman	kapr1245		bird	937	BIRD		yerɛpm	j e r ɛ p m
31291	47442	transnewguineaorg-saniyo-hiyewe	sani1270		bird	937	BIRD		iřowɛ	i r̝ o w ɛ
31292	47443	transnewguineaorg-saniyo-hiyewe	sani1270		bird	937	BIRD		iruwɛ	i r u w ɛ
32635	48786	johanssonsoundsymbolic-Awtuw	awtu1239		bite	1403	BITE		æl	æ l
33188	49339	transnewguineaorg-alamblak	alam1246		bite	1403	BITE		'kɨwitoʀ̥̌	k ɨ w i t o r
33220	49371	transnewguineaorg-berinomo	beri1253		bite	1403	BITE		muwɛ_pehɛnɛ_owe	m u w ɛ + p e h ɛ n ɛ + o w e
33223	49374	transnewguineaorg-bisis	bisi1244		bite	1403	BITE		lɩkʰɛnido	l ɪ kʰ ɛ n i d o
33235	49386	transnewguineaorg-chenapian	chen1259		bite	1403	BITE		gwara_tam_tɛn_tes	g w a r a + t a m + t ɛ n + t e s
33236	49387	transnewguineaorg-chenapian	chen1259		bite	1403	BITE		tamtɩn_teʔ	t a m t ɪ n + t e ʔ
33397	49548	transnewguineaorg-saniyo-hiyewe	sani1270		bite	1403	BITE		awa	a w a
35245	51396	johanssonsoundsymbolic-Awtuw	awtu1239		black	163	BLACK		thiphɾajkhwo	tʰ i pʰ ɾ a j kʰ w o
38657	54808	johanssonsoundsymbolic-Awtuw	awtu1239		blood	946	BLOOD		æjphij	æ j pʰ i j
39401	55552	transnewguineaorg-alamblak	alam1246		blood	946	BLOOD		kɨ'kʰupʰam	k ɨ kʰ u pʰ a m
39402	55553	transnewguineaorg-alamblak	alam1246		blood	946	BLOOD		khukhupam	k h u k h u p a m
39438	55589	transnewguineaorg-bahinemo	bahi1254		blood	946	BLOOD		mahələ	m a h ə l ə
39449	55600	transnewguineaorg-berinomo	beri1253		blood	946	BLOOD		marɛ_hax	m a r ɛ + h a x
39453	55604	transnewguineaorg-bisis	bisi1244		blood	946	BLOOD		kukwem	k u k w e m
39467	55618	transnewguineaorg-chenapian	chen1259		blood	946	BLOOD		nᵊe	n ə e
39468	55619	transnewguineaorg-chenapian	chen1259		blood	946	BLOOD		ne	n e
39538	55689	transnewguineaorg-kapriman	kapr1245		blood	946	BLOOD		kokwem	k o k w e m
39650	55801	transnewguineaorg-saniyo-hiyewe	sani1270		blood	946	BLOOD		fisaʔi	f i s a ʔ i
39651	55802	transnewguineaorg-saniyo-hiyewe	sani1270		blood	946	BLOOD		fisa'i	f i s a i
40883	57034	johanssonsoundsymbolic-Awtuw	awtu1239		blowofwind	175	BLOW (OF WIND)		iljæmna	i l j æ m n a
42052	58203	johanssonsoundsymbolic-Awtuw	awtu1239		blue	837	BLUE		aphothawkhwo	a pʰ o tʰ a w kʰ w o
43081	59232	johanssonsoundsymbolic-Awtuw	awtu1239		blunt	379	BLUNT		wam	w a m
44548	60699	johanssonsoundsymbolic-Awtuw	awtu1239		body	1480	BODY		jæj	j æ j
46886	63037	johanssonsoundsymbolic-Awtuw	awtu1239		bone	1394	BONE		lakhe	l a kʰ e
47619	63770	transnewguineaorg-alamblak	alam1246		bone	1394	BONE		tɨ'pɩʀ̥̌	t ɨ p ɪ r
47620	63771	transnewguineaorg-alamblak	alam1246		bone	1394	BONE		thʌphim	t h ʌ p h i m
47621	63772	transnewguineaorg-alamblak	alam1246		bone	1394	BONE		tɨpi	t ɨ p i
47660	63811	transnewguineaorg-bahinemo	bahi1254		bone	1394	BONE		hʌbi	h ʌ b i
47672	63823	transnewguineaorg-berinomo	beri1253		bone	1394	BONE		sɛtsɛpi	s ɛ ts ɛ p i
47676	63827	transnewguineaorg-bisis	bisi1244		bone	1394	BONE		sɩbɩkʰam	s ɪ b ɪ kʰ a m
47693	63844	transnewguineaorg-chenapian	chen1259		bone	1394	BONE		ǰa·	dʒ a
47694	63845	transnewguineaorg-chenapian	chen1259		bone	1394	BONE		dža	dʒ a
47766	63917	transnewguineaorg-kapriman	kapr1245		bone	1394	BONE		sibevam	s i b e v a m
47894	64045	transnewguineaorg-saniyo-hiyewe	sani1270		bone	1394	BONE		paʔaře	p a ʔ a r̝ e
47895	64046	transnewguineaorg-saniyo-hiyewe	sani1270		bone	1394	BONE		pa'arɛ	p a a r ɛ
51471	67622	johanssonsoundsymbolic-Awtuw	awtu1239		boy	1366	BOY		jæn	j æ n
52070	68221	transnewguineaorg-alamblak	alam1246		boy	1366	BOY		yʌnər	j ʌ n ə r
52087	68238	transnewguineaorg-bahinemo	bahi1254		boy	1366	BOY		'ɩma_yɛn	ɪ m a + j ɛ n
52094	68245	transnewguineaorg-berinomo	beri1253		boy	1366	BOY		maruwan	m a r u w a n
52097	68248	transnewguineaorg-bisis	bisi1244		boy	1366	BOY		yonoř	j o n o r̝
52106	68257	transnewguineaorg-chenapian	chen1259		boy	1366	BOY		jɛntamɛn	j ɛ n t a m ɛ n
52107	68258	transnewguineaorg-chenapian	chen1259		boy	1366	BOY		džɛntamiɛn	dʒ ɛ n t a m i ɛ n
52145	68296	transnewguineaorg-kapriman	kapr1245		boy	1366	BOY		moɣʌla	m o ɣ ʌ l a
52203	68354	transnewguineaorg-saniyo-hiyewe	sani1270		boy	1366	BOY		emanɛ	e m a n ɛ
56973	73126	johanssonsoundsymbolic-Awtuw	awtu1239		breast	1402	BREAST		muj	m u j
57675	73828	transnewguineaorg-alamblak	alam1246		breast	1402	BREAST		miŋatʰ	m i ŋ a tʰ
57676	73829	transnewguineaorg-alamblak	alam1246		breast	1402	BREAST		mingam	m i n g a m
57677	73830	transnewguineaorg-alamblak	alam1246		breast	1402	BREAST		niŋgam	n i ŋ g a m
57713	73866	transnewguineaorg-bahinemo	bahi1254		breast	1402	BREAST		mosu	m o s u
57724	73877	transnewguineaorg-berinomo	beri1253		breast	1402	BREAST		mok	m o k
57728	73881	transnewguineaorg-bisis	bisi1244		breast	1402	BREAST		minika	m i n i k a
57742	73895	transnewguineaorg-chenapian	chen1259		breast	1402	BREAST		mu	m u
57743	73896	transnewguineaorg-chenapian	chen1259		breast	1402	BREAST		muʔ	m u ʔ
57817	73970	transnewguineaorg-kapriman	kapr1245		breast	1402	BREAST		mʌnikha	m ʌ n i k h a
57943	74096	transnewguineaorg-saniyo-hiyewe	sani1270		breast	1402	BREAST		moʔu	m o ʔ u
57944	74097	transnewguineaorg-saniyo-hiyewe	sani1270		breast	1402	BREAST		mo'u	m o u
58912	75065	johanssonsoundsymbolic-Awtuw	awtu1239		breathe	1407	BREATHE		jijkh_liwkhenajijkh	j i j kʰ + l i w kʰ e n a j i j kʰ
61472	77625	transnewguineaorg-alamblak	alam1246		brother	1262	BROTHER		na'jɛ̈ɨʀ̥̌	n a j ɛ ɨ r
61491	77644	transnewguineaorg-berinomo	beri1253		brother	1262	BROTHER		owanɛ_ana	o w a n ɛ + a n a
61493	77646	transnewguineaorg-bisis	bisi1244		brother	1262	BROTHER		nař	n a r̝
61499	77652	transnewguineaorg-chenapian	chen1259		brother	1262	BROTHER		čəuntəwontean	tʃ ə u n t ə w o n t e a n
61500	77653	transnewguineaorg-chenapian	chen1259		brother	1262	BROTHER		tɛwutɛan	t ɛ w u t ɛ a n
64449	80602	johanssonsoundsymbolic-Awtuw	awtu1239		burn	2102	BURN		okhwo	o kʰ w o
64810	80963	transnewguineaorg-alamblak	alam1246		burn	2102	BURN		u'newɛ̈tʰ	u n e w ɛ tʰ
64995	81148	transnewguineaorg-saniyo-hiyewe	sani1270		burn	2102	BURN		yɛhɛ_ɛtiniyei	j ɛ h ɛ + ɛ t i n i j e i
72077	88230	transnewguineaorg-alamblak	alam1246		canoe	1970	CANOE		doɣʌth	d o ɣ ʌ t h
72088	88241	transnewguineaorg-bahinemo	bahi1254		canoe	1970	CANOE		doma	d o m a
72104	88257	transnewguineaorg-kapriman	kapr1245		canoe	1970	CANOE		doɣor	d o ɣ o r
72122	88275	transnewguineaorg-saniyo-hiyewe	sani1270		canoe	1970	CANOE		way	w a j
72945	89098	johanssonsoundsymbolic-Awtuw	awtu1239		carry	700	CARRY		waj	w a j
74518	90671	transnewguineaorg-alamblak	alam1246		cassowary	466	CASSOWARY		'bɛ̈ndɨǥ̈oʀ̥̌tʰ	b ɛ n d ɨ g o r tʰ
74519	90672	transnewguineaorg-alamblak	alam1246		cassowary	466	CASSOWARY		bundugwʌr	b u n d u g w ʌ r
74547	90700	transnewguineaorg-bahinemo	bahi1254		cassowary	466	CASSOWARY		fyulu	f j u l u
74557	90710	transnewguineaorg-berinomo	beri1253		cassowary	466	CASSOWARY		uro_horomi	u r o + h o r o m i
74561	90714	transnewguineaorg-bisis	bisi1244		cassowary	466	CASSOWARY		wulus	w u l u s
74571	90724	transnewguineaorg-chenapian	chen1259		cassowary	466	CASSOWARY		čɛp	tʃ ɛ p
74572	90725	transnewguineaorg-chenapian	chen1259		cassowary	466	CASSOWARY		sɛp	s ɛ p
74618	90771	transnewguineaorg-kapriman	kapr1245		cassowary	466	CASSOWARY		wolos	w o l o s
74697	90850	transnewguineaorg-saniyo-hiyewe	sani1270		cassowary	466	CASSOWARY		'iruwʌru	i r u w ʌ r u
84788	100941	transnewguineaorg-alamblak	alam1246		chin	1510	CHIN		yɛngʌngovat	j ɛ n g ʌ n g o v a t
84806	100959	transnewguineaorg-bahinemo	bahi1254		chin	1510	CHIN		yɛkhī	j ɛ k h iː
84813	100966	transnewguineaorg-berinomo	beri1253		chin	1510	CHIN		aiyox_hɛpi	a i j o x + h ɛ p i
84816	100969	transnewguineaorg-bisis	bisi1244		chin	1510	CHIN		akʰok	a kʰ o k
84824	100977	transnewguineaorg-chenapian	chen1259		chin	1510	CHIN		džɛtɨp	dʒ ɛ t ɨ p
84853	101006	transnewguineaorg-kapriman	kapr1245		chin	1510	CHIN		khasɩbɩs	k h a s ɪ b ɪ s
84906	101059	transnewguineaorg-saniyo-hiyewe	sani1270		chin	1510	CHIN		ahita'o	a h i t a o
87165	103318	transnewguineaorg-alamblak	alam1246		claw	72	CLAW		phɩtsʌkam	p h ɪ ts ʌ k a m
87176	103329	transnewguineaorg-bahinemo	bahi1254		claw	72	CLAW		wabo_sï	w a b o + s i
87180	103333	transnewguineaorg-berinomo	beri1253		claw	72	CLAW		sɛtnus	s ɛ t n u s
87181	103334	transnewguineaorg-berinomo	beri1253		claw	72	CLAW		sɛtnus	s ɛ t n u s
87183	103336	transnewguineaorg-bisis	bisi1244		claw	72	CLAW		ilop̶i_tɛp̶i	i l o pˤ i + t ɛ pˤ i
87190	103343	transnewguineaorg-chenapian	chen1259		claw	72	CLAW		ṣo·kʷi	s o + kʷ i
87191	103344	transnewguineaorg-chenapian	chen1259		claw	72	CLAW		soakwi	s o a k w i
87223	103376	transnewguineaorg-kapriman	kapr1245		claw	72	CLAW		tsʌtikhʌn	ts ʌ t i k h ʌ n
87256	103409	transnewguineaorg-saniyo-hiyewe	sani1270		claw	72	CLAW		yaruwapi	j a r u w a p i
91587	107740	johanssonsoundsymbolic-Awtuw	awtu1239		cloud	1489	CLOUD		æwkhthil	æ w kʰ tʰ i l
92128	108281	transnewguineaorg-alamblak	alam1246		cloud	1489	CLOUD		'gɨřibɨpam	g ɨ r̝ i b ɨ p a m
92129	108282	transnewguineaorg-alamblak	alam1246		cloud	1489	CLOUD		mowʌnkh	m o w ʌ n k h
92153	108306	transnewguineaorg-bahinemo	bahi1254		cloud	1489	CLOUD		dobul	d o b u l
92165	108318	transnewguineaorg-berinomo	beri1253		cloud	1489	CLOUD		nihoř	n i h o r̝
92169	108322	transnewguineaorg-bisis	bisi1244		cloud	1489	CLOUD		dumbunay	d u m b u n a j
92181	108334	transnewguineaorg-chenapian	chen1259		cloud	1489	CLOUD		nəŋgə	n ə ŋ g ə
92182	108335	transnewguineaorg-chenapian	chen1259		cloud	1489	CLOUD		nəŋga	n ə ŋ g a
92257	108410	transnewguineaorg-kapriman	kapr1245		cloud	1489	CLOUD		dʌbʌdali	d ʌ b ʌ d a l i
92371	108524	transnewguineaorg-saniyo-hiyewe	sani1270		cloud	1489	CLOUD		aitu	a i t u
92372	108525	transnewguineaorg-saniyo-hiyewe	sani1270		cloud	1489	CLOUD		safu	s a f u
95162	111315	johanssonsoundsymbolic-Awtuw	awtu1239		cold	1287	COLD		nampheth	n a m pʰ e tʰ
95923	112076	transnewguineaorg-alamblak	alam1246		cold	1287	COLD		gɛ̈nɨŋgɨtʰewtʰ	g ɛ n ɨ ŋ g ɨ tʰ e w tʰ
95924	112077	transnewguineaorg-alamblak	alam1246		cold	1287	COLD		gonʌgʌtheyoth	g o n ʌ g ʌ t h e j o t h
95954	112107	transnewguineaorg-bahinemo	bahi1254		cold	1287	COLD		khʌni	k h ʌ n i
95968	112121	transnewguineaorg-bisis	bisi1244		cold	1287	COLD		nokʰoʔom	n o kʰ o ʔ o m
96045	112198	transnewguineaorg-kapriman	kapr1245		cold	1287	COLD		gonyugu	g o n j u g u
96144	112297	transnewguineaorg-saniyo-hiyewe	sani1270		cold	1287	COLD		nařɛte	n a r̝ ɛ t e
96145	112298	transnewguineaorg-saniyo-hiyewe	sani1270		cold	1287	COLD		narataya'i	n a r a t a j a i
98826	114979	johanssonsoundsymbolic-Awtuw	awtu1239		come	1446	COME		eja	e j a
99574	115727	transnewguineaorg-alamblak	alam1246		come	1446	COME		'nͥewɛ̈ʀ̥̌	n e w ɛ r
99575	115728	transnewguineaorg-alamblak	alam1246		come	1446	COME		bineyawa	b i n e j a w a
99576	115729	transnewguineaorg-alamblak	alam1246		come	1446	COME		nayay	n a j a j
99609	115762	transnewguineaorg-bahinemo	bahi1254		come	1446	COME		diyayu	d i j a j u
99622	115775	transnewguineaorg-bisis	bisi1244		come	1446	COME		atɩnyayali	a t ɪ n j a j a l i
99702	115855	transnewguineaorg-kapriman	kapr1245		come	1446	COME		ja	j a
99831	115984	transnewguineaorg-saniyo-hiyewe	sani1270		come	1446	COME		aiyiyei	a i j i j e i
99832	115985	transnewguineaorg-saniyo-hiyewe	sani1270		come	1446	COME		ayuʌ	a j u ʌ
104896	121049	johanssonsoundsymbolic-Awtuw	awtu1239		correctright	1725	CORRECT (RIGHT)		jiɾin_jekhə	j i ɾ i n + j e kʰ ə
105960	122113	johanssonsoundsymbolic-Awtuw	awtu1239		cough	879	COUGH		ewkhith	e w kʰ i tʰ
110134	126287	transnewguineaorg-alamblak	alam1246		crocodile	1857	CROCODILE		mʌnumbor	m ʌ n u m b o r
110153	126306	transnewguineaorg-bahinemo	bahi1254		crocodile	1857	CROCODILE		yey_mugulu	j e j + m u g u l u
110194	126347	transnewguineaorg-kapriman	kapr1245		crocodile	1857	CROCODILE		mogur	m o g u r
110247	126400	transnewguineaorg-saniyo-hiyewe	sani1270		crocodile	1857	CROCODILE		harɛ_mʌ'ʌru	h a r ɛ + m ʌ ʌ r u
112932	129085	johanssonsoundsymbolic-Awtuw	awtu1239		cry	1839	CRY		jel	j e l
118652	134805	johanssonsoundsymbolic-Awtuw	awtu1239		dark	706	DARK		umkhuɾkhwə	u m kʰ u ɾ kʰ w ə
121770	137925	johanssonsoundsymbolic-Awtuw	awtu1239		daynotnight	1225	DAY (NOT NIGHT)		mæj	m æ j
127046	143201	johanssonsoundsymbolic-Awtuw	awtu1239		die	1494	DIE		lakhnə	l a kʰ n ə
127793	143948	transnewguineaorg-alamblak	alam1246		die	1494	DIE		'noǥwɛ̈ʀ̥̌	n o g w ɛ r
127982	144137	transnewguineaorg-saniyo-hiyewe	sani1270		die	1494	DIE		tɛmɛniyeye	t ɛ m ɛ n i j e j e
131704	147859	johanssonsoundsymbolic-Awtuw	awtu1239		dirty	1230	DIRTY		wunenenej	w u n e n e n e j
134161	150316	johanssonsoundsymbolic-Awtuw	awtu1239		do	813	DO		ɾokhw	ɾ o kʷʰ
135596	151751	johanssonsoundsymbolic-Awtuw	awtu1239		dog	2009	DOG		phijɾen	pʰ i j ɾ e n
136356	152511	transnewguineaorg-alamblak	alam1246		dog	2009	DOG		yauʀ̥̌ʸ	j a u r j
136357	152512	transnewguineaorg-alamblak	alam1246		dog	2009	DOG		yawu	j a w u
136358	152513	transnewguineaorg-alamblak	alam1246		dog	2009	DOG		yawi	j a w i
136392	152547	transnewguineaorg-bahinemo	bahi1254		dog	2009	DOG		yo	j o
136404	152559	transnewguineaorg-berinomo	beri1253		dog	2009	DOG		yao	j a o
136408	152563	transnewguineaorg-bisis	bisi1244		dog	2009	DOG		yau	j a u
136420	152575	transnewguineaorg-chenapian	chen1259		dog	2009	DOG		ogwara	o g w a r a
136421	152576	transnewguineaorg-chenapian	chen1259		dog	2009	DOG		gwara	g w a r a
136494	152649	transnewguineaorg-kapriman	kapr1245		dog	2009	DOG		yom	j o m
136624	152779	transnewguineaorg-saniyo-hiyewe	sani1270		dog	2009	DOG		you	j o u
136625	152780	transnewguineaorg-saniyo-hiyewe	sani1270		dog	2009	DOG		yo	j o
142065	158220	johanssonsoundsymbolic-Awtuw	awtu1239		drink	1401	DRINK		jiw_ɾa	j i w + ɾ a
142718	158873	transnewguineaorg-saniyo-hiyewe	sani1270		drink	1401	DRINK		saʔi_aiyei	s a ʔ i + a i j e i
145709	161864	johanssonsoundsymbolic-Awtuw	awtu1239		dry	1398	DRY		æjle	æ j l e
147301	163456	transnewguineaorg-saniyo-hiyewe	sani1270		dryup	1786	DRY UP		fořoʔo	f o r̝ o ʔ o
148694	164849	johanssonsoundsymbolic-Awtuw	awtu1239		dust	2	DUST		khajphutheɾij	kʰ a j pʰ u tʰ e ɾ i j
151139	167294	johanssonsoundsymbolic-Awtuw	awtu1239		ear	1247	EAR		mane	m a n e
151888	168043	transnewguineaorg-alamblak	alam1246		ear	1247	EAR		yɩmbɨǥin'daŋgɨtʰ	j ɪ m b ɨ g i n d a ŋ g ɨ tʰ
151889	168044	transnewguineaorg-alamblak	alam1246		ear	1247	EAR		yɩmbʌlindangʌm	j ɪ m b ʌ l i n d a n g ʌ m
151890	168045	transnewguineaorg-alamblak	alam1246		ear	1247	EAR		yimbɣindang	j i m b ɣ i n d a n g
151925	168080	transnewguineaorg-bahinemo	bahi1254		ear	1247	EAR		bʌsiya	b ʌ s i j a
151936	168091	transnewguineaorg-berinomo	beri1253		ear	1247	EAR		pɛnɛhax	p ɛ n ɛ h a x
151940	168095	transnewguineaorg-bisis	bisi1244		ear	1247	EAR		wanbatal	w a n b a t a l
151955	168110	transnewguineaorg-chenapian	chen1259		ear	1247	EAR		ugwabə	u g w a b ə
151956	168111	transnewguineaorg-chenapian	chen1259		ear	1247	EAR		gwabuo	g w a b u o
152025	168180	transnewguineaorg-kapriman	kapr1245		ear	1247	EAR		womblaja	w o m b l a j a
152150	168305	transnewguineaorg-saniyo-hiyewe	sani1270		ear	1247	EAR		apaniyɛ	a p a n i j ɛ
152151	168306	transnewguineaorg-saniyo-hiyewe	sani1270		ear	1247	EAR		apahɛ	a p a h ɛ
154062	170217	johanssonsoundsymbolic-Awtuw	awtu1239		earthsoil	1228	EARTH (SOIL)		niw	n i w
154553	170708	transnewguineaorg-alamblak	alam1246		earthsoil	1228	EARTH (SOIL)		bɨbɩɲ'čɛ̈ƀɨtʰ	b ɨ b ɪ ɲ tʃ ɛ β ɨ tʰ
154554	170709	transnewguineaorg-alamblak	alam1246		earthsoil	1228	EARTH (SOIL)		bʌbɩnsapith	b ʌ b ɪ n s a p i t h
154573	170728	transnewguineaorg-bahinemo	bahi1254		earthsoil	1228	EARTH (SOIL)		bobu	b o b u
154578	170733	transnewguineaorg-berinomo	beri1253		earthsoil	1228	EARTH (SOIL)		pɛpɛri	p ɛ p ɛ r i
154580	170735	transnewguineaorg-bisis	bisi1244		earthsoil	1228	EARTH (SOIL)		babak	b a b a k
154587	170742	transnewguineaorg-chenapian	chen1259		earthsoil	1228	EARTH (SOIL)		ṣan	s a n
154588	170743	transnewguineaorg-chenapian	chen1259		earthsoil	1228	EARTH (SOIL)		sʊn	s ʊ n
154617	170772	transnewguineaorg-kapriman	kapr1245		earthsoil	1228	EARTH (SOIL)		bubʌɣa	b u b ʌ ɣ a
154663	170818	transnewguineaorg-saniyo-hiyewe	sani1270		earthsoil	1228	EARTH (SOIL)		pɛpɛri	p ɛ p ɛ r i
156663	172818	johanssonsoundsymbolic-Awtuw	awtu1239		eat	1336	EAT		æje_ɾa	æ j e + ɾ a
157251	173406	transnewguineaorg-alamblak	alam1246		eat	1336	EAT		'kʰaɛ̈ʀ̥̌	kʰ a ɛ r
157252	173407	transnewguineaorg-alamblak	alam1246		eat	1336	EAT		weyanum	w e j a n u m
157253	173408	transnewguineaorg-alamblak	alam1246		eat	1336	EAT		fa	f a
157254	173409	transnewguineaorg-alamblak	alam1246		eat	1336	EAT		ka	k a
157255	173410	transnewguineaorg-alamblak	alam1246		eat	1336	EAT		ye	j e
157297	173452	transnewguineaorg-bahinemo	bahi1254		eat	1336	EAT		diyaw	d i j a w
157311	173466	transnewguineaorg-bisis	bisi1244		eat	1336	EAT		bʌľia̠s	b ʌ ʎ i a s
157389	173546	transnewguineaorg-kapriman	kapr1245		eat	1336	EAT		asoliya	a s o l i j a
