	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
3904	20055	johanssonsoundsymbolic-Haidanorthern	nort2938		back	1291	BACK		tʼʃʼakʼii	tʃʼ a kʼ iː
5020	21171	johanssonsoundsymbolic-Haidanorthern	nort2938		bad	1292	BAD		t̪aʕkaŋaa	t̪ a ʕ k a ŋ aː
8859	25010	johanssonsoundsymbolic-Haidanorthern	nort2938		bark	1204	BARK		kiit̪h	k iː t̪ʰ
13001	29152	johanssonsoundsymbolic-Haidanorthern	nort2938		bealive	1422	BE ALIVE		ʕxiin̪aŋaa	ʕ x iː n̪ a ŋ aː
16323	32474	johanssonsoundsymbolic-Haidanorthern	nort2938		because	1157	BECAUSE		ʕkat̪an̪aan̪	ʕ k a t̪ a n̪ aː n̪
22895	39046	johanssonsoundsymbolic-Haidanorthern	nort2938		belly	1251	BELLY		kʼiitʃ	kʼ iː tʃ
27936	44087	johanssonsoundsymbolic-Haidanorthern	nort2938		big	1202	BIG		iʔwaan̪	i ʔ w aː n̪
30322	46473	johanssonsoundsymbolic-Haidanorthern	nort2938		bird	937	BIRD		ʕxit̪ʼiit̪h	ʕ x i t̪ʼ iː t̪ʰ
32671	48822	johanssonsoundsymbolic-Haidanorthern	nort2938		bite	1403	BITE		qʼʊs̪kat̪h	qʼ ʊ s̪ k a t̪ʰ
35287	51438	johanssonsoundsymbolic-Haidanorthern	nort2938		black	163	BLACK		ɬ̪ʕkaɬ̪	ɬ̪ ʕ k a ɬ̪
38697	54848	johanssonsoundsymbolic-Haidanorthern	nort2938		blood	946	BLOOD		ʕkaj	ʕ k a j
40917	57068	johanssonsoundsymbolic-Haidanorthern	nort2938		blowofwind	175	BLOW (OF WIND)		xʊs̪kat̪h	x ʊ s̪ k a t̪ʰ
43104	59255	johanssonsoundsymbolic-Haidanorthern	nort2938		blunt	379	BLUNT		wʊn̪aa	w ʊ n̪ aː
46927	63078	johanssonsoundsymbolic-Haidanorthern	nort2938		bone	1394	BONE		s̪khʊtʃ	s̪ kʰ ʊ tʃ
58938	75091	johanssonsoundsymbolic-Haidanorthern	nort2938		breathe	1407	BREATHE		ʕkakan̪tʃaaw	ʕ k a k a n̪ tʃ aː w
91624	107777	johanssonsoundsymbolic-Haidanorthern	nort2938		cloud	1489	CLOUD		jaan̪	j aː n̪
98864	115017	johanssonsoundsymbolic-Haidanorthern	nort2938		come	1446	COME		hawiit̪h	h a w iː t̪ʰ
104914	121067	johanssonsoundsymbolic-Haidanorthern	nort2938		correctright	1725	CORRECT (RIGHT)		jahkʼijaa	j a h kʼ i j aː
121809	137964	johanssonsoundsymbolic-Haidanorthern	nort2938		daynotnight	1225	DAY (NOT NIGHT)		ʕkat̪hkaa	ʕ k a t̪ʰ k aː
127085	143240	johanssonsoundsymbolic-Haidanorthern	nort2938		die	1494	DIE		kʼʊt̪ʼaal̪	kʼ ʊ t̪ʼ aː l̪
131734	147889	johanssonsoundsymbolic-Haidanorthern	nort2938		dirty	1230	DIRTY		s̪qʼiil̪aa	s̪ qʼ iː l̪ aː
135637	151792	johanssonsoundsymbolic-Haidanorthern	nort2938		dog	2009	DOG		ʕxa	ʕ x a
142105	158260	johanssonsoundsymbolic-Haidanorthern	nort2938		drink	1401	DRINK		n̪iiɬ̪	n̪ iː ɬ̪
145745	161900	johanssonsoundsymbolic-Haidanorthern	nort2938		dry	1398	DRY		xil̪aa	x i l̪ aː
148727	164882	johanssonsoundsymbolic-Haidanorthern	nort2938		dust	2	DUST		s̪qʼil̪	s̪ qʼ i l̪
151180	167335	johanssonsoundsymbolic-Haidanorthern	nort2938		ear	1247	EAR		kjʊʊ	k j ʊː
154101	170256	johanssonsoundsymbolic-Haidanorthern	nort2938		earthsoil	1228	EARTH (SOIL)		qʼwii	qʼ w iː
156703	172858	johanssonsoundsymbolic-Haidanorthern	nort2938		eat	1336	EAT		t̪aa	t̪ aː
159015	175173	johanssonsoundsymbolic-Haidanorthern	nort2938		egg	744	EGG		qhaw	qʰ a w
169585	185743	johanssonsoundsymbolic-Haidanorthern	nort2938		eye	1248	EYE		ʕxaŋʔii	ʕ x a ŋ ʔ iː
173588	189747	johanssonsoundsymbolic-Haidanorthern	nort2938		fall	1280	FALL		ʔwii	ʔʷ iː
175859	192018	johanssonsoundsymbolic-Haidanorthern	nort2938		far	1406	FAR		dʒiiŋeeɬ̪	dʒ iː ŋ eː ɬ̪
182072	198232	johanssonsoundsymbolic-Haidanorthern	nort2938		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		ʕkaaj	ʕ k aː j
184911	201071	johanssonsoundsymbolic-Haidanorthern	nort2938		feather	1201	FEATHER		ɬ̪t̪han̪ʊʊ	ɬ̪ t̪ʰ a n̪ ʊː
189943	222596	johanssonsoundsymbolic-Haidanorthern	nort2938		flower	239	FLOWER		χil̪aaj	χ i l̪ aː j
192866	225519	johanssonsoundsymbolic-Haidanorthern	nort2938		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		t̪iit̪aan̪	t̪ iː t̪ aː n̪
196183	228836	johanssonsoundsymbolic-Haidanorthern	nort2938		foot	1301	FOOT		s̪t̪ʼaaj	s̪ t̪ʼ aː j
202516	235169	johanssonsoundsymbolic-Haidanorthern	nort2938		four	1500	FOUR		s̪t̪han̪s̪aŋ	s̪ t̪ʰ a n̪ s̪ a ŋ
214613	247266	johanssonsoundsymbolic-Haidanorthern	nort2938		give	1447	GIVE		is̪t̪aa	i s̪ t̪ aː
220740	253396	johanssonsoundsymbolic-Haidanorthern	nort2938		good	1035	GOOD		l̪aa	l̪ aː
226186	258842	johanssonsoundsymbolic-Haidanorthern	nort2938		grass	606	GRASS		qʼan̪	qʼ a n̪
228537	261193	johanssonsoundsymbolic-Haidanorthern	nort2938		green	1425	GREEN		s̪ɢin̪ʊwaa	s̪ ɢ i n̪ ʊ w aː
234544	267200	johanssonsoundsymbolic-Haidanorthern	nort2938		hair	1040	HAIR		qhatʃ	qʰ a tʃ
238383	271039	johanssonsoundsymbolic-Haidanorthern	nort2938		hand	1277	HAND		s̪t̪ɬ̪aaj	s̪ t̪ ɬ̪ aː j
243938	276595	johanssonsoundsymbolic-Haidanorthern	nort2938		head	1256	HEAD		qhatʃ	qʰ a tʃ
246882	279539	johanssonsoundsymbolic-Haidanorthern	nort2938		hear	1408	HEAR		kʊt̪aŋ	k ʊ t̪ a ŋ
248467	281124	johanssonsoundsymbolic-Haidanorthern	nort2938		heart	1223	HEART		kʼʊʊkh	kʼ ʊː kʰ
250636	283293	johanssonsoundsymbolic-Haidanorthern	nort2938		heavy	1210	HEAVY		qhin̪aa	qʰ i n̪ aː
254469	287128	johanssonsoundsymbolic-Haidanorthern	nort2938		here	136	HERE		haɬ̪gwaa	h a ɬ̪ g w aː
258716	291376	johanssonsoundsymbolic-Haidanorthern	nort2938		hit	1433	HIT		t̪aa	t̪ aː
268851	301511	johanssonsoundsymbolic-Haidanorthern	nort2938		how	1239	HOW		s̪an̪ʊʊ	s̪ a n̪ ʊː
274691	307351	johanssonsoundsymbolic-Haidanorthern	nort2938		i	1209	I		ɬ̪aa	ɬ̪ aː
276766	309426	johanssonsoundsymbolic-Haidanorthern	nort2938		if	1459	IF		t̪ɬ̪ʊʊ	t̪ ɬ̪ ʊː
278030	310690	johanssonsoundsymbolic-Haidanorthern	nort2938		in	1460	IN		ii	iː
287536	320196	johanssonsoundsymbolic-Haidanorthern	nort2938		kill	1417	KILL		kʼʊt̪ʼaɬ̪	kʼ ʊ t̪ʼ a ɬ̪
299016	331676	johanssonsoundsymbolic-Haidanorthern	nort2938		laugh	1355	LAUGH		kʼah	kʼ a h
302173	334833	johanssonsoundsymbolic-Haidanorthern	nort2938		leaf	628	LEAF		xil̪	x i l̪
305286	337946	johanssonsoundsymbolic-Haidanorthern	nort2938		left	244	LEFT		s̪t̪ʼɬ̪ʼaan̪aa	s̪ t̪ʼ ɬ̪ʼ aː n̪ aː
316937	349597	johanssonsoundsymbolic-Haidanorthern	nort2938		liver	1224	LIVER		t̪ʼɬ̪ʼakʼʊl̪	t̪ʼ ɬ̪ʼ a kʼ ʊ l̪
319834	352494	johanssonsoundsymbolic-Haidanorthern	nort2938		long	1203	LONG		tʃaŋ	tʃ a ŋ
323480	356140	johanssonsoundsymbolic-Haidanorthern	nort2938		louse	1392	LOUSE		t̪ʼam	t̪ʼ a m
332269	364930	johanssonsoundsymbolic-Haidanorthern	nort2938		many	1198	MANY		in̪aŋ	i n̪ a ŋ
350915	383579	johanssonsoundsymbolic-Haidanorthern	nort2938		mountain	639	MOUNTAIN		t̪ɬ̪at̪ʼaʔaaw	t̪ ɬ̪ a t̪ʼ a ʔ aː w
353423	386087	johanssonsoundsymbolic-Haidanorthern	nort2938		mouth	674	MOUTH		ʕxaɬ̪ʼii	ʕ x a ɬ̪ʼ iː
358442	391106	johanssonsoundsymbolic-Haidanorthern	nort2938		name	1405	NAME		khiʔii	kʰ i ʔ iː
360351	393017	johanssonsoundsymbolic-Haidanorthern	nort2938		narrow	1267	NARROW		t̪ʼamtʃʊʊ	t̪ʼ a m tʃ ʊː
362991	395657	johanssonsoundsymbolic-Haidanorthern	nort2938		near	1942	NEAR		qʼʊɬ̪	qʼ ʊ ɬ̪
