	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
4972	21123	johanssonsoundsymbolic-Allentiac	alle1238		bad	1292	BAD		çenek	ç e n e k
12954	29105	johanssonsoundsymbolic-Allentiac	alle1238		bealive	1422	BE ALIVE		tajtekuemanen	t a j t e k u e m a n e n
19211	35362	johanssonsoundsymbolic-Allentiac	alle1238		before	1882	BEFORE		neu	n e u
22846	38997	johanssonsoundsymbolic-Allentiac	alle1238		belly	1251	BELLY		taru	t a r u
24503	40654	johanssonsoundsymbolic-Allentiac	alle1238		beloworunder	1485	BELOW OR UNDER		wjak	w j a k
26459	42610	johanssonsoundsymbolic-Allentiac	alle1238		between	689	BETWEEN		tati	t a t i
35237	51388	johanssonsoundsymbolic-Allentiac	alle1238		black	163	BLACK		homhomniaŋ	h o m̥ o m n i a ŋ
38650	54801	johanssonsoundsymbolic-Allentiac	alle1238		blood	946	BLOOD		hoho	h o h o
46878	63029	johanssonsoundsymbolic-Allentiac	alle1238		bone	1394	BONE		jewe	j e w e
56965	73118	johanssonsoundsymbolic-Allentiac	alle1238		breast	1402	BREAST		kojkoj	k o j k o j
67758	83911	johanssonsoundsymbolic-Allentiac	alle1238		buttocks	834	BUTTOCKS		suksuk	s u k s u k
72937	89090	johanssonsoundsymbolic-Allentiac	alle1238		carry	700	CARRY		mamejenen	m a m e j e n e n
112924	129077	johanssonsoundsymbolic-Allentiac	alle1238		cry	1839	CRY		teujanen	t e u j a n e n
121763	137918	johanssonsoundsymbolic-Allentiac	alle1238		daynotnight	1225	DAY (NOT NIGHT)		tekta	t e k t a
127038	143193	johanssonsoundsymbolic-Allentiac	alle1238		die	1494	DIE		lepuçapnen	l e p u ç a p n e n
134153	150308	johanssonsoundsymbolic-Allentiac	alle1238		do	813	DO		pejnen	p e j n e n
135588	151743	johanssonsoundsymbolic-Allentiac	alle1238		dog	2009	DOG		wasa	w a s a
142057	158212	johanssonsoundsymbolic-Allentiac	alle1238		drink	1401	DRINK		maɲanen	m a ɲ a n e n
151131	167286	johanssonsoundsymbolic-Allentiac	alle1238		ear	1247	EAR		çlaka	ç l a k a
154054	170209	johanssonsoundsymbolic-Allentiac	alle1238		earthsoil	1228	EARTH (SOIL)		teta	t e t a
156655	172810	johanssonsoundsymbolic-Allentiac	alle1238		eat	1336	EAT		nentamanen	n e n t a m a n e n
160728	176886	johanssonsoundsymbolic-Allentiac	alle1238		eight	1705	EIGHT		ltunkleu	l t u n k l e u
163681	179839	johanssonsoundsymbolic-Allentiac	alle1238		eleven	1706	ELEVEN		lkatertekta	l k a t e r t e k t a
173541	189700	johanssonsoundsymbolic-Allentiac	alle1238		fall	1280	FALL		çetukiçetanen	ç e t u k i ç e t a n e n
202470	235123	johanssonsoundsymbolic-Allentiac	alle1238		four	1500	FOUR		tut	t u t
209248	241901	johanssonsoundsymbolic-Allentiac	alle1238		full	1429	FULL		topatenen	t o p a t e n e n
214565	247218	johanssonsoundsymbolic-Allentiac	alle1238		give	1447	GIVE		khejmen	kʰ e j m e n
216920	249573	johanssonsoundsymbolic-Allentiac	alle1238		go	695	GO		eniamanen	e n i a m a n e n
220692	253348	johanssonsoundsymbolic-Allentiac	alle1238		good	1035	GOOD		khotoalteunen	kʰ o t o a l t e u n e n
228495	261151	johanssonsoundsymbolic-Allentiac	alle1238		green	1425	GREEN		lturlturniaŋ	l t u r l t u r n i a ŋ
231417	264073	johanssonsoundsymbolic-Allentiac	alle1238		grow	479	GROW		çiatianen	ç i a t i a n e n
236344	269000	johanssonsoundsymbolic-Allentiac	alle1238		half	816	HALF		ker	k e r
238335	270991	johanssonsoundsymbolic-Allentiac	alle1238		hand	1277	HAND		lpuu	l p uː
243890	276547	johanssonsoundsymbolic-Allentiac	alle1238		head	1256	HEAD		joto	j o t o
246838	279495	johanssonsoundsymbolic-Allentiac	alle1238		hear	1408	HEAR		sakatkanen	s a k a t k a n e n
253799	286457	johanssonsoundsymbolic-Allentiac	alle1238		heorsheorit	262	HE OR SHE OR IT		ep	e p
254426	287085	johanssonsoundsymbolic-Allentiac	alle1238		here	136	HERE		hekelu	h e k e l u
267227	299887	johanssonsoundsymbolic-Allentiac	alle1238		house	1252	HOUSE		ut	u t
268810	301470	johanssonsoundsymbolic-Allentiac	alle1238		how	1239	HOW		jemata	j e m a t a
274642	307302	johanssonsoundsymbolic-Allentiac	alle1238		i	1209	I		ku	k u
278635	311295	johanssonsoundsymbolic-Allentiac	alle1238		infrontof	1883	IN FRONT OF		pakat	p a k a t
305252	337912	johanssonsoundsymbolic-Allentiac	alle1238		left	244	LEFT		lkhaj	l kʰ a j
325331	357991	johanssonsoundsymbolic-Allentiac	alle1238		lowerarm	446	LOWER ARM		totom	t o t o m
325696	358356	johanssonsoundsymbolic-Allentiac	alle1238		lowerleg	447	LOWER LEG		wese	w e s e
330398	363059	johanssonsoundsymbolic-Allentiac	alle1238		man	1554	MAN		khe	kʰ e
332221	364882	johanssonsoundsymbolic-Allentiac	alle1238		many	1198	MANY		lepe	l e p e
344391	377052	johanssonsoundsymbolic-Allentiac	alle1238		moon	1313	MOON		kher	kʰ e r
350868	383532	johanssonsoundsymbolic-Allentiac	alle1238		mountain	639	MOUNTAIN		tumta	t u m t a
353376	386040	johanssonsoundsymbolic-Allentiac	alle1238		mouth	674	MOUTH		howe	h o w e
358395	391059	johanssonsoundsymbolic-Allentiac	alle1238		name	1405	NAME		hene	h e n e
361404	394070	johanssonsoundsymbolic-Allentiac	alle1238		navel	1838	NAVEL		kwpkhaŋ	k w p kʰ a ŋ
364683	397350	johanssonsoundsymbolic-Allentiac	alle1238		neck	1333	NECK		kapta	k a p t a
371515	404182	johanssonsoundsymbolic-Allentiac	alle1238		night	1233	NIGHT		motta	m o tː a
373215	405882	johanssonsoundsymbolic-Allentiac	alle1238		nine	1483	NINE		tutkleu	t u t k l e u
