	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
8749	24900	hubercolumbian-Catio	embe1260		bark	1204	BARK		bakʰuɾú e	b a kʰ u ɾ u + e
8757	24908	hubercolumbian-EmberaChami	embe1262		bark	1204	BARK		bakʰúɾu e	b a kʰ u ɾ u + e
8758	24909	hubercolumbian-EmberaDarien	nort2972		bark	1204	BARK		pakʰuɾú e	p a kʰ u ɾ u + e
8759	24910	hubercolumbian-EmberaTado	embe1261		bark	1204	BARK		bakʰúɾu e	b a kʰ u ɾ u + e
8760	24911	hubercolumbian-EpenaSaija	epen1239		bark	1204	BARK		pakʰúɾu e	p a kʰ u ɾ u + e
8807	24958	hubercolumbian-Wounaan	woun1238		bark	1204	BARK		paʔɩu	p a ʔ ɪ u
22714	38865	hubercolumbian-Catio	embe1260		belly	1251	BELLY		bi	b i
22715	38866	hubercolumbian-Catio	embe1260		belly	1251	BELLY		bidéda	b i d e d a
22716	38867	hubercolumbian-Catio	embe1260		belly	1251	BELLY		ãuría	ã u r i a
22732	38883	hubercolumbian-EmberaChami	embe1262		belly	1251	BELLY		bi	b i
22733	38884	hubercolumbian-EmberaChami	embe1262		belly	1251	BELLY		ɓi	ɓ i
22734	38885	hubercolumbian-EmberaChami	embe1262		belly	1251	BELLY		ãpʰur	ã pʰ u r
22735	38886	hubercolumbian-EmberaDarien	nort2972		belly	1251	BELLY		ɓi	ɓ i
22736	38887	hubercolumbian-EmberaDarien	nort2972		belly	1251	BELLY		ãtaú	ã t a u
22737	38888	hubercolumbian-EmberaTado	embe1261		belly	1251	BELLY		ɓi	ɓ i
22738	38889	hubercolumbian-EmberaTado	embe1261		belly	1251	BELLY		ɓúʧi	ɓ u tʃ i
22739	38890	hubercolumbian-EmberaTado	embe1261		belly	1251	BELLY		ãdáu	ã d a u
22740	38891	hubercolumbian-EpenaSaija	epen1239		belly	1251	BELLY		bi	b i
22741	38892	hubercolumbian-EpenaSaija	epen1239		belly	1251	BELLY		ãtáu	ã t a u
22830	38981	hubercolumbian-Wounaan	woun1238		belly	1251	BELLY		bi	b i
22831	38982	hubercolumbian-Wounaan	woun1238		belly	1251	BELLY		buʧ	b u tʃ
